split,budget,llm_source,model,n_all,n_labeled_leave_b_out,k_escalated,agreement,n_correct,wrong_to_right,right_to_wrong,generalized_risk,n_final_empty,agreement_strong_sensitivity,note
pooled,0.0,none,openai/gpt-oss-20b,320,261,0,0.275862,72,0,0,0.724138,28,0.282609,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
dev,0.0,none,openai/gpt-oss-20b,254,207,0,0.275362,57,0,0,0.724638,21,0.285714,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
val,0.0,none,openai/gpt-oss-20b,66,54,0,0.277778,15,0,0,0.722222,7,0.270833,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
pooled,0.05,gpt-oss-20b_every_item,openai/gpt-oss-20b,320,261,16,0.314176,82,10,0,0.685824,14,0.321739,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
dev,0.05,gpt-oss-20b_every_item,openai/gpt-oss-20b,254,207,13,0.31401,65,8,0,0.68599,10,0.324176,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
val,0.05,gpt-oss-20b_every_item,openai/gpt-oss-20b,66,54,3,0.314815,17,2,0,0.685185,4,0.3125,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
pooled,0.1,gpt-oss-20b_every_item,openai/gpt-oss-20b,320,261,32,0.35249,92,20,0,0.64751,12,0.36087,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
dev,0.1,gpt-oss-20b_every_item,openai/gpt-oss-20b,254,207,25,0.352657,73,16,0,0.647343,9,0.362637,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
val,0.1,gpt-oss-20b_every_item,openai/gpt-oss-20b,66,54,7,0.351852,19,4,0,0.648148,3,0.354167,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
pooled,0.2,gpt-oss-20b_every_item,openai/gpt-oss-20b,320,261,64,0.429119,112,40,0,0.570881,2,0.434783,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
dev,0.2,gpt-oss-20b_every_item,openai/gpt-oss-20b,254,207,51,0.434783,90,33,0,0.565217,0,0.450549,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
val,0.2,gpt-oss-20b_every_item,openai/gpt-oss-20b,66,54,13,0.407407,22,7,0,0.592593,2,0.375,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
pooled,0.3,gpt-oss-20b_every_item,openai/gpt-oss-20b,320,261,96,0.475096,124,53,1,0.524904,0,0.478261,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
dev,0.3,gpt-oss-20b_every_item,openai/gpt-oss-20b,254,207,76,0.483092,100,44,1,0.516908,0,0.5,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
val,0.3,gpt-oss-20b_every_item,openai/gpt-oss-20b,66,54,20,0.444444,24,9,0,0.555556,0,0.395833,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
pooled,0.4,gpt-oss-20b_every_item,openai/gpt-oss-20b,320,261,128,0.54023,141,70,1,0.45977,0,0.552174,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
dev,0.4,gpt-oss-20b_every_item,openai/gpt-oss-20b,254,207,102,0.550725,114,58,1,0.449275,0,0.576923,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
val,0.4,gpt-oss-20b_every_item,openai/gpt-oss-20b,66,54,26,0.5,27,12,0,0.5,0,0.458333,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
pooled,0.5,gpt-oss-20b_every_item,openai/gpt-oss-20b,320,261,160,0.597701,156,85,1,0.402299,0,0.608696,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
dev,0.5,gpt-oss-20b_every_item,openai/gpt-oss-20b,254,207,127,0.608696,126,70,1,0.391304,0,0.631868,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
val,0.5,gpt-oss-20b_every_item,openai/gpt-oss-20b,66,54,33,0.555556,30,15,0,0.444444,0,0.520833,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
pooled,0.75,gpt-oss-20b_every_item,openai/gpt-oss-20b,320,261,241,0.743295,194,125,3,0.256705,0,0.778261,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
dev,0.75,gpt-oss-20b_every_item,openai/gpt-oss-20b,254,207,191,0.743961,154,100,3,0.256039,0,0.791209,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
val,0.75,gpt-oss-20b_every_item,openai/gpt-oss-20b,66,54,50,0.740741,40,25,0,0.259259,0,0.729167,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
pooled,1.0,gpt-oss-20b_every_item,openai/gpt-oss-20b,320,261,320,0.827586,216,151,7,0.172414,0,0.873913,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
dev,1.0,gpt-oss-20b_every_item,openai/gpt-oss-20b,254,207,254,0.821256,170,119,6,0.178744,0,0.879121,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
val,1.0,gpt-oss-20b_every_item,openai/gpt-oss-20b,66,54,66,0.851852,46,32,1,0.148148,0,0.854167,strong 列为敏感性附注，含 Judge B，禁止作为质量上限
