budget,route_id,route_name,oracle_only,k_total,n_labeled,agreement,wrong_to_right,right_to_wrong,generalized_risk,quality_gain_pp_per_10pct_calls,agreement_dev,agreement_val
0.0,R0,base_only_no_escalation,0,0,261,0.275862,0,0,0.724138,0.0,0.275362,0.277778
0.05,R1,random_seed20260910,0,16,261,0.321839,12,0,0.678161,9.195402,0.318841,0.333333
0.1,R1,random_seed20260910,0,32,261,0.35249,21,1,0.64751,7.662835,0.347826,0.37037
0.2,R1,random_seed20260910,0,64,261,0.390805,32,2,0.609195,5.747126,0.386473,0.407407
0.3,R1,random_seed20260910,0,96,261,0.436782,44,2,0.563218,5.363985,0.42029,0.5
0.4,R1,random_seed20260910,0,128,261,0.482759,56,2,0.517241,5.172414,0.468599,0.537037
0.5,R1,random_seed20260910,0,160,261,0.555556,76,3,0.444444,5.59387,0.536232,0.62963
0.05,R2,lowest_clf_confidence,0,16,261,0.310345,9,0,0.689655,6.896552,0.309179,0.314815
0.1,R2,lowest_clf_confidence,0,32,261,0.356322,21,0,0.643678,8.045977,0.352657,0.37037
0.2,R2,lowest_clf_confidence,0,64,261,0.383142,29,1,0.616858,5.363985,0.381643,0.388889
0.3,R2,lowest_clf_confidence,0,96,261,0.425287,40,1,0.574713,4.980843,0.425121,0.425926
0.4,R2,lowest_clf_confidence,0,128,261,0.498084,60,2,0.501916,5.555556,0.497585,0.5
0.5,R2,lowest_clf_confidence,0,160,261,0.56705,78,2,0.43295,5.823755,0.560386,0.592593
0.05,R3,lowest_margin,0,16,261,0.310345,9,0,0.689655,6.896552,0.309179,0.314815
0.1,R3,lowest_margin,0,32,261,0.356322,21,0,0.643678,8.045977,0.352657,0.37037
0.2,R3,lowest_margin,0,64,261,0.37931,28,1,0.62069,5.172414,0.376812,0.388889
0.3,R3,lowest_margin,0,96,261,0.436782,44,2,0.563218,5.363985,0.434783,0.444444
0.4,R3,lowest_margin,0,128,261,0.494253,59,2,0.505747,5.45977,0.492754,0.5
0.5,R3,lowest_margin,0,160,261,0.563218,77,2,0.436782,5.747126,0.555556,0.592593
0.05,R4,highest_entropy,0,16,261,0.310345,9,0,0.689655,6.896552,0.309179,0.314815
0.1,R4,highest_entropy,0,32,261,0.356322,21,0,0.643678,8.045977,0.352657,0.37037
0.2,R4,highest_entropy,0,64,261,0.37931,28,1,0.62069,5.172414,0.376812,0.388889
0.3,R4,highest_entropy,0,96,261,0.436782,44,2,0.563218,5.363985,0.434783,0.444444
0.4,R4,highest_entropy,0,128,261,0.494253,59,2,0.505747,5.45977,0.492754,0.5
0.5,R4,highest_entropy,0,160,261,0.563218,77,2,0.436782,5.747126,0.555556,0.592593
0.05,R5,rule_clf_disagreement_first,0,16,261,0.314176,10,0,0.685824,7.662835,0.309179,0.333333
0.1,R5,rule_clf_disagreement_first,0,32,261,0.344828,18,0,0.655172,6.896552,0.338164,0.37037
0.2,R5,rule_clf_disagreement_first,0,64,261,0.421456,38,0,0.578544,7.279693,0.415459,0.444444
0.3,R5,rule_clf_disagreement_first,0,96,261,0.448276,46,1,0.551724,5.747126,0.444444,0.462963
0.4,R5,rule_clf_disagreement_first,0,128,261,0.498084,60,2,0.501916,5.555556,0.497585,0.5
0.5,R5,rule_clf_disagreement_first,0,160,261,0.555556,75,2,0.444444,5.59387,0.550725,0.574074
0.05,R6,risk_estimator_r_hat,0,16,261,0.314176,10,0,0.685824,7.662835,0.31401,0.314815
0.1,R6,risk_estimator_r_hat,0,32,261,0.35249,20,0,0.64751,7.662835,0.352657,0.351852
0.2,R6,risk_estimator_r_hat,0,64,261,0.429119,40,0,0.570881,7.662835,0.434783,0.407407
0.3,R6,risk_estimator_r_hat,0,96,261,0.475096,53,1,0.524904,6.641124,0.483092,0.444444
0.4,R6,risk_estimator_r_hat,0,128,261,0.54023,70,1,0.45977,6.609195,0.550725,0.5
0.5,R6,risk_estimator_r_hat,0,160,261,0.597701,85,1,0.402299,6.436782,0.608696,0.555556
0.05,R7,oracle_true_errors_first,1,16,261,0.318008,11,0,0.681992,8.429119,0.318841,0.314815
0.1,R7,oracle_true_errors_first,1,32,261,0.367816,24,0,0.632184,9.195402,0.362319,0.388889
0.2,R7,oracle_true_errors_first,1,64,261,0.448276,45,0,0.551724,8.62069,0.444444,0.462963
0.3,R7,oracle_true_errors_first,1,96,261,0.54023,69,0,0.45977,8.812261,0.536232,0.555556
0.4,R7,oracle_true_errors_first,1,128,261,0.659004,100,0,0.340996,9.578544,0.657005,0.666667
0.5,R7,oracle_true_errors_first,1,160,261,0.754789,125,0,0.245211,9.578544,0.748792,0.777778
