省份,断言总数,严格层,上下文层,未决层
贵州省,10503,272,8600,1631
四川省,9823,351,7796,1676
云南省,9066,350,7131,1585
江西省,8512,372,6646,1494
湖北省,7030,226,5649,1155
安徽省,6267,144,5085,1038
湖南省,6232,289,4936,1007
江苏省,6047,157,4806,1084
重庆市,5235,122,4006,1107
上海市,3150,128,2364,658
湖北省/湖南省,956,30,793,133
江西省/湖北省/湖南省,818,18,700,100
江苏省/安徽省,771,29,611,131
江西省/湖南省,701,25,540,136
安徽省/湖北省,580,13,463,104
四川省/贵州省/云南省,566,18,479,69
浙江省,477,15,369,93
安徽省/江西省,250,9,197,44
广东省,83,13,47,23
福建省,41,4,29,8
青海省,39,1,32,6
广西壮族自治区,25,2,12,11
西藏自治区,25,1,22,2
陕西省,23,2,14,7
河南省,14,1,7,6
北京市,12,1,7,4
山东省,5,0,3,2
海南省,5,0,3,2
山西省,4,1,1,2
甘肃省,4,0,2,2
江西省/湖北省,3,0,3,0
河北省,3,0,3,0
香港特别行政区,3,0,3,0
天津市,2,0,1,1
黑龙江省,1,0,1,0
