谓词,断言数,是否原始形式(raw:)
raw:关联,69149,1
raw:发生于,53979,1
participated_in,23506,0
led,21992,0
raw:participated_in,18539,1
raw:led,13736,1
active_at,10921,0
occurred_at,9941,0
raw:member_of,7648,1
organized,7328,0
influenced,5223,0
member_of,5079,0
raw:organized,4901,1
raw:held_position_in,4739,1
held_position_in,4663,0
raw:active_at,3083,1
raw:革命,2660,1
raw:发生地,2536,1
commanded,2493,0
raw:见于证据记录,2197,1
raw:embodied_in_event,2117,1
raw:事件发生地,1990,1
supported,1985,0
mentioned_in,1900,0
guided,1735,0
raw:关联人物,1727,1
fought_at,1613,0
raw:关系待定,1572,1
has_value_facet,1532,0
stationed_at,1513,0
raw:发展,1474,1
raw:disseminates,1466,1
raw:mentioned_in,1458,1
carried_out,1454,0
raw:时间关联,1356,1
worked_at,1319,0
raw:通信,1209,1
raw:隶属,1198,1
raw:supported,1181,1
raw:牺牲于,1166,1
contacted,1057,0
created,1046,0
opposed,996,0
raw:隶属关系,986,1
raw:战争,985,1
governed,956,0
raw:originated_at,950,1
raw:influenced,947,1
raw:起义,922,1
raw:发起,909,1
collaborated_with,891,0
traveled_to,876,0
raw:地理关联,870,1
raw:转移,863,1
dispatched,854,0
raw:commanded,835,1
raw:组织关系,828,1
raw:关联事件,756,1
captured,755,0
raw:事件-地点,745,1
raw:教育,728,1
raw:镇压,711,1
raw:liberated,709,1
raw:籍贯,706,1
raw:guided,693,1
raw:领导关系,675,1
responsible_for,673,0
raw:关联地点,644,1
raw:人物-事件,623,1
raw:进攻,622,1
raw:事件关联,608,1
located_in,603,0
raw:关联组织,599,1
raw:地点关联,583,1
raw:部署,573,1
raw:carried_out,572,1
died_at,567,0
liberated,555,0
raw:authored,554,1
raw:created,551,1
raw:组成,506,1
raw:held_position,502,1
raw:被捕,486,1
raw:军事行动,485,1
raw:活动关联,454,1
raw:embodied_by_person,445,1
raw:改编,427,1
raw:支援,424,1
raw:collaborated_with,414,1
raw:相关,414,1
raw:commemorates,387,1
raw:保卫,381,1
killed,376,0
imprisoned_at,363,0
raw:studied_at,359,1
introduced,345,0
raw:报告,345,1
raw:关联区域,344,1
raw:影响范围,343,1
raw:依托,339,1
raw:组织成员,339,1
arrested_at,334,0
raw:captured,317,1
raw:对抗,317,1
raw:防守,311,1
raw:作战区域,305,1
raw:体现于地域,302,1
raw:地点,301,1
recruited,296,0
colleague_of,292,0
raw:建设,292,1
raw:主持,287,1
raw:组织-成员,286,1
appointed,283,0
raw:发生地点,281,1
raw:任职地,277,1
raw:occurred_at,276,1
raw:实施,274,1
reported_to,272,0
raw:动员,271,1
raw:冲突,270,1
raw:讨论,266,1
raw:contacted,263,1
raw:组织者,263,1
raw:组织-事件,262,1
raw:成立,261,1
raw:决策,256,1
raw:涉及,253,1
raw:used_artifact,251,1
raw:推动,251,1
raw:组建,251,1
born_at,248,0
met_with,246,0
raw:决定,245,1
raw:研究,244,1
raw:演讲,243,1
raw:事,238,1
raw:人物-地点,234,1
raw:参与事件,231,1
raw:创建者,229,1
raw:responsible_for,227,1
raw:投降,227,1
raw:负责人,222,1
raw:相关人物,221,1
raw:发布,219,1
raw:组织关联,217,1
raw:出版,212,1
raw:进驻,208,1
raw:统一,207,1
raw:命令,206,1
raw:改革,206,1
raw:运输,204,1
raw:开展,203,1
raw:事件-人物,202,1
raw:地域关联,200,1
raw:因果关系,198,1
protected,193,0
raw:事件地点,192,1
raw:破坏,192,1
raw:advocated,191,1
raw:途经,191,1
raw:worked_at,190,1
raw:任职地点,190,1
raw:响应,188,1
raw:宣传,187,1
raw:组织隶属,187,1
raw:人物-组织,186,1
raw:影响事件,186,1
raw:edited,185,1
raw:情报传递,184,1
raw:撰写,184,1
raw:引发,183,1
raw:设立,182,1
trained,182,0
raw:关联地,180,1
raw:事-地,179,1
raw:创办者,179,1
studied_at,177,0
raw:召开,176,1
raw:会师,175,1
visited,175,0
raw:背景,174,1
raw:行动,174,1
raw:体现,173,1
raw:组织-人物,173,1
used_artifact,173,0
raw:属于,171,1
family_of,168,0
raw:活动场所,168,1
raw:fought_at,165,1
raw:发动,165,1
raw:遇害地点,165,1
raw:斗争对象,163,1
raw:籍贯关联,162,1
raw:组织-地点,162,1
raw:stationed_at,160,1
raw:包含,160,1
raw:参与关系,159,1
raw:相关事件,158,1
raw:领导活动,157,1
raw:关联地区,156,1
raw:牺牲,156,1
raw:联系人,156,1
raw:转移路线,155,1
raw:行动区域,154,1
raw:领导与被领导,154,1
raw:参与地点,153,1
raw:指挥关系,153,1
authored,152,0
raw:recruited,151,1
raw:率领,151,1
raw:统战关系,151,1
raw:执行者-事件,148,1
raw:formulated,147,1
raw:支援关系,147,1
raw:攻击目标,147,1
raw:组织活动,147,1
rescued,147,0
raw:killed,146,1
raw:记录,146,1
raw:转移路径,146,1
raw:located_in,144,1
raw:事件,144,1
raw:接管,144,1
raw:经历,144,1
raw:发起人,143,1
raw:导致,143,1
raw:就学,143,1
raw:歼灭,143,1
raw:牺牲地,143,1
raw:指导者,141,1
raw:opposed,139,1
raw:转移至,139,1
embodied_in_event,138,0
raw:事件发生地点,138,1
raw:参与人物,138,1
raw:争取,137,1
raw:出席,137,1
raw:dispatched,136,1
raw:作战,136,1
raw:成立地点,136,1
raw:创办,134,1
raw:协同,133,1
raw:策反,133,1
implemented,132,0
raw:行动地点,129,1
raw:掩护,128,1
raw:参与者,127,1
raw:工作,127,1
raw:编纂,127,1
raw:负责区域,127,1
raw:目标,126,1
raw:联络点,125,1
raw:驻地,125,1
raw:学习地点,124,1
raw:行动路线,122,1
raw:归属,121,1
raw:指挥参与,121,1
raw:斗争,121,1
raw:评价,121,1
part_of,119,0
raw:传播媒介,119,1
raw:传达,119,1
raw:关联事件地点,119,1
raw:组织者-事件,119,1
raw:发生地关联,116,1
raw:会合,115,1
raw:对抗关系,114,1
raw:protected,113,1
raw:据点,112,1
raw:控制,112,1
raw:生产,112,1
raw:人物与地点关联,111,1
raw:介绍入党,111,1
raw:攻击,111,1
raw:同属,110,1
raw:工作关系,110,1
raw:打击对象,110,1
comrade_of,109,0
raw:工作地,109,1
raw:影响关系,109,1
raw:执行者,109,1
raw:决策者,108,1
raw:加入,108,1
raw:参加,108,1
raw:指挥战斗,108,1
raw:领导参与,108,1
raw:任职关系,106,1
raw:安葬地,106,1
raw:袭击,106,1
formulated,105,0
raw:影响对象,105,1
raw:侦查,104,1
raw:入党,104,1
raw:组织事件,104,1
depicts,103,0
raw:活动范围,103,1
raw:关联机构,102,1
escorted,101,0
raw:主体-事件,101,1
raw:escorted,100,1
raw:人物关联,100,1
raw:关联地点-人物,100,1
raw:成员关系,100,1
raw:掩护关系,100,1
raw:独立,100,1
raw:联络地点,100,1
criticized,99,0
raw:收复,99,1
raw:行军路线,99,1
raw:活动据点,98,1
advocated,97,0
raw:died_at,97,1
raw:策反对象,97,1
raw:imprisoned_at,94,1
raw:人物与地点关系,94,1
raw:战斗,93,1
raw:所属,93,1
raw:入党介绍人,91,1
raw:工作单位,91,1
raw:依托地,90,1
edited,89,0
raw:governed,88,1
raw:伏击,88,1
raw:支援对象,86,1
occurred_during,85,0
raw:实施地,85,1
raw:symbolized_by,80,1
raw:打击,80,1
raw:参与地,78,1
raw:part_of,77,1
raw:traveled_to,76,1
raw:推广,76,1
raw:开辟,75,1
raw:编入,75,1
spouse_of,74,0
raw:documents,73,1
raw:领导-地点,73,1
raw:提供,72,1
raw:攻打,72,1
raw:策划,72,1
raw:调动,71,1
raw:相关地点,70,1
raw:人物-人物,69,1
raw:管理,68,1
raw:地点-事件,66,1
raw:释放,66,1
raw:参与方,65,1
embodied_by_person,64,0
raw:领导/参与,64,1
raw:围剿,63,1
raw:应对,63,1
raw:结果,63,1
raw:发生时间,62,1
raw:慰问,62,1
raw:指导关系,62,1
raw:传递,61,1
raw:逮捕,61,1
raw:遭遇,61,1
raw:支撑,60,1
raw:appointed,59,1
raw:经过,59,1
raw:缴获,59,1
raw:阻击,59,1
raw:reported_to,58,1
raw:trained,58,1
raw:依据,58,1
raw:作战地点,57,1
raw:贯彻,57,1
raw:arrested_at,56,1
raw:保障,55,1
