原始谓词,规范谓词,断言数
weak:关联,raw:关联,70595
raw:发生于,raw:发生于,54309
participated_in,participated_in,31452
led,led,27771
participated_in,raw:participated_in,22920
led,raw:led,16247
active_at,active_at,10454
member_of,raw:member_of,7831
organized,organized,6990
held_position_in,raw:held_position_in,6192
held_position_in,held_position_in,5995
influenced,influenced,5366
organized,raw:organized,5159
raw:发生于,occurred_at,4973
member_of,member_of,4706
raw:发生地,occurred_at,3123
active_at,raw:active_at,3092
raw:革命,raw:革命,2661
raw:发生地,raw:发生地,2546
,has_value_facet,2349
,raw:见于证据记录,2197
embodied_in_event,raw:embodied_in_event,2119
commanded,commanded,2076
raw:事件发生地,raw:事件发生地,2011
,mentioned_in,1947
occurred_at,occurred_at,1785
,raw:关联人物,1727
supported,supported,1714
raw:发展,raw:发展,1595
raw:need_review,raw:关系待定,1555
,raw:mentioned_in,1536
disseminates,raw:disseminates,1511
raw:时间关联,raw:时间关联,1499
guided,guided,1447
raw:牺牲于,raw:牺牲于,1236
raw:通信,raw:通信,1210
supported,raw:supported,1210
worked_at,worked_at,1200
raw:隶属,raw:隶属,1198
raw:隶属关系,raw:隶属关系,986
raw:战争,raw:战争,985
influenced,raw:influenced,971
originated_at,raw:originated_at,950
raw:发起,raw:发起,942
dispatched,dispatched,938
raw:起义,raw:起义,927
captured,captured,922
raw:转移,raw:转移,910
raw:地理关联,raw:地理关联,871
commanded,raw:commanded,835
raw:组织关系,raw:组织关系,829
raw:籍贯,raw:籍贯,827
carried_out,carried_out,814
raw:部署,raw:部署,762
raw:教育,raw:教育,757
raw:镇压,raw:镇压,757
,raw:关联事件,756
raw:人物-事件,raw:人物-事件,752
raw:事件-地点,raw:事件-地点,745
authored,raw:authored,720
guided,raw:guided,720
liberated,raw:liberated,720
raw:组织者,organized,709
stationed_at,stationed_at,693
raw:发生地点,occurred_at,688
raw:领导关系,raw:领导关系,676
contacted,contacted,662
,raw:关联地点,644
raw:进攻,raw:进攻,631
responsible_for,responsible_for,623
raw:事件关联,raw:事件关联,608
,raw:关联组织,599
raw:地点关联,raw:地点关联,583
carried_out,raw:carried_out,572
raw:组成,raw:组成,572
liberated,liberated,562
created,raw:created,554
raw:活动关联,raw:活动关联,528
collaborated_with,collaborated_with,522
raw:被捕,raw:被捕,507
held_position,raw:held_position,502
fought_at,fought_at,489
raw:军事行动,raw:军事行动,488
raw:改编,raw:改编,473
raw:依托,raw:依托,456
embodied_by_person,raw:embodied_by_person,445
created,created,440
commemorates,raw:commemorates,439
raw:隶属关系,member_of,430
raw:保卫,raw:保卫,429
collaborated_with,raw:collaborated_with,427
raw:支援,raw:支援,425
governed,governed,414
weak:相关,raw:相关,414
raw:隶属,member_of,410
traveled_to,traveled_to,410
raw:影响范围,raw:影响范围,404
studied_at,raw:studied_at,396
located_in,located_in,392
imprisoned_at,imprisoned_at,384
raw:参与者,participated_in,378
opposed,opposed,369
raw:事件发生地,occurred_at,360
raw:作战区域,raw:作战区域,360
died_at,died_at,356
recruited,recruited,351
killed,killed,347
raw:报告,raw:报告,347
raw:参与事件,participated_in,346
raw:关联区域,raw:关联区域,344
raw:活动场所,active_at,343
captured,raw:captured,341
raw:对抗,opposed,341
raw:组织成员,raw:组织成员,339
used_artifact,raw:used_artifact,323
raw:防守,raw:防守,318
raw:对抗,raw:对抗,317
raw:冲突,raw:冲突,315
raw:决定,raw:决定,315
raw:动员,raw:动员,305
,raw:体现于地域,302
raw:地点,raw:地点,301
raw:发布,raw:发布,297
raw:建设,raw:建设,296
raw:主持,raw:主持,288
raw:组织-成员,raw:组织-成员,286
raw:发生地点,raw:发生地点,282
raw:负责人,raw:负责人,281
occurred_at,raw:occurred_at,278
raw:任职地,raw:任职地,277
raw:实施,raw:实施,274
raw:情报传递,raw:情报传递,272
raw:讨论,raw:讨论,268
introduced,introduced,264
contacted,raw:contacted,263
raw:组织者,raw:组织者,263
arrested_at,arrested_at,262
raw:组织-事件,raw:组织-事件,262
raw:成立,raw:成立,261
raw:破坏,raw:破坏,258
raw:决策,raw:决策,257
appointed,appointed,256
raw:事件-人物,raw:事件-人物,253
raw:因果关系,raw:因果关系,253
raw:涉及,raw:涉及,253
raw:进驻,raw:进驻,252
raw:推动,raw:推动,251
raw:组建,raw:组建,251
advocated,raw:advocated,249
raw:研究,raw:研究,247
raw:撰写,raw:撰写,246
raw:领导关系,led,245
raw:引发,raw:引发,244
raw:演讲,raw:演讲,244
raw:响应,raw:响应,241
raw:人物-组织,raw:人物-组织,239
raw:事,raw:事,238
raw:战斗发生地,fought_at,236
raw:人物-地点,raw:人物-地点,234
raw:设立,raw:设立,233
raw:参与事件,raw:参与事件,231
raw:背景,raw:背景,231
edited,raw:edited,230
raw:创办者,raw:创办者,230
raw:创建者,raw:创建者,230
raw:投降,raw:投降,229
raw:事件地点,raw:事件地点,228
colleague_of,colleague_of,227
responsible_for,raw:responsible_for,227
raw:召开,raw:召开,224
raw:地域关联,raw:地域关联,224
born_at,born_at,223
raw:途经,raw:途经,223
raw:相关人物,raw:相关人物,222
raw:影响事件,raw:影响事件,221
raw:统战关系,raw:统战关系,220
raw:会师,raw:会师,218
raw:组织关联,raw:组织关联,217
raw:出版,raw:出版,216
family_of,family_of,215
raw:命令,raw:命令,213
raw:发起,organized,211
raw:开展,carried_out,211
raw:事-地,raw:事-地,209
raw:运输,raw:运输,209
raw:统一,raw:统一,207
raw:改革,raw:改革,206
raw:牺牲,raw:牺牲,205
raw:转移路线,raw:转移路线,205
raw:领导活动,raw:领导活动,205
raw:开展,raw:开展,203
raw:转移路径,raw:转移路径,198
recruited,raw:recruited,196
raw:策反,raw:策反,192
raw:行动区域,raw:行动区域,192
used_artifact,used_artifact,192
raw:参与关系,raw:参与关系,191
raw:就学,raw:就学,191
raw:支援,supported,191
raw:组织活动,raw:组织活动,191
worked_at,raw:worked_at,191
,created,190
raw:任职地点,raw:任职地点,190
raw:争取,raw:争取,187
raw:宣传,raw:宣传,187
raw:支援关系,raw:支援关系,187
raw:组织-事件,organized,187
raw:组织隶属,raw:组织隶属,187
stationed_at,raw:stationed_at,182
raw:主导,led,180
raw:关联地,raw:关联地,180
raw:事件,raw:事件,177
authored,authored,176
raw:遇害地点,raw:遇害地点,176
killed,raw:killed,175
raw:成立地点,raw:成立地点,175
raw:负责区域,raw:负责区域,175
raw:行动,raw:行动,174
reported_to,reported_to,174
raw:体现,raw:体现,173
raw:组织-人物,raw:组织-人物,173
studied_at,studied_at,173
raw:事件发生地点,raw:事件发生地点,172
raw:关联地区,raw:关联地区,172
raw:属于,raw:属于,172
raw:学习地点,raw:学习地点,171
raw:联系人,raw:联系人,171
raw:评价,raw:评价,169
raw:活动场所,raw:活动场所,168
raw:接管,raw:接管,167
fought_at,raw:fought_at,165
raw:发动,raw:发动,165
raw:目标,raw:目标,165
raw:编纂,raw:编纂,164
raw:驻地,stationed_at,164
raw:斗争对象,raw:斗争对象,163
raw:行动路线,raw:行动路线,163
raw:传达,raw:传达,162
raw:籍贯关联,raw:籍贯关联,162
raw:组织-地点,raw:组织-地点,162
raw:包含,raw:包含,160
raw:相关事件,raw:相关事件,159
raw:协同,raw:协同,158
raw:归属,raw:归属,158
dispatched,raw:dispatched,157
raw:介绍入党,raw:介绍入党,157
raw:安葬地,raw:安葬地,157
raw:作战,raw:作战,156
raw:执行者-事件,raw:执行者-事件,156
raw:指导者,raw:指导者,155
raw:领导与被领导,raw:领导与被领导,154
raw:参与地点,raw:参与地点,153
raw:指挥关系,raw:指挥关系,153
raw:据点,raw:据点,151
raw:率领,raw:率领,151
raw:发起人,raw:发起人,150
raw:指挥战斗,raw:指挥战斗,150
raw:参与人物,raw:参与人物,148
formulated,raw:formulated,147
raw:出席,raw:出席,147
raw:掩护关系,raw:掩护关系,147
raw:攻击目标,raw:攻击目标,147
opposed,raw:opposed,146
raw:组织-成员,member_of,146
raw:组织事件,raw:组织事件,146
raw:记录,raw:记录,146
raw:联络地点,raw:联络地点,145
located_in,raw:located_in,144
raw:导致,raw:导致,144
raw:工作,raw:工作,144
raw:经历,raw:经历,144
raw:决策者,raw:决策者,143
raw:歼灭,raw:歼灭,143
raw:牺牲地,raw:牺牲地,143
raw:策反对象,raw:策反对象,142
raw:会合,raw:会合,139
raw:转移至,raw:转移至,139
raw:领导关系,governed,137
raw:入党介绍人,raw:入党介绍人,136
raw:关联事件地点,raw:关联事件地点,136
raw:创办,raw:创办,135
raw:人物与地点关系,raw:人物与地点关系,134
raw:成员关系,raw:成员关系,133
raw:行动地点,raw:行动地点,130
raw:掩护,raw:掩护,129
raw:地点-事件,occurred_at,128
raw:参与者,raw:参与者,127
raw:影响关系,raw:影响关系,127
raw:作战区域,fought_at,126
raw:组织者-事件,raw:组织者-事件,126
raw:联络点,raw:联络点,125
raw:驻地,raw:驻地,125
raw:发生地关联,raw:发生地关联,124
raw:关联机构,raw:关联机构,121
raw:发动,organized,121
raw:指挥参与,raw:指挥参与,121
raw:斗争,raw:斗争,121
raw:传播媒介,raw:传播媒介,120
raw:执行者,raw:执行者,120
raw:策划,organized,119
raw:组织成员,member_of,119
raw:人物关联,raw:人物关联,116
raw:对抗关系,raw:对抗关系,115
raw:工作地,raw:工作地,115
raw:影响对象,raw:影响对象,115
raw:活动据点,raw:活动据点,115
raw:生产,raw:生产,114
edited,edited,113
protected,raw:protected,113
raw:同属,raw:同属,113
raw:控制,raw:控制,112
protected,protected,111
raw:人物与地点关联,raw:人物与地点关联,111
raw:攻击,fought_at,111
raw:攻击,raw:攻击,111
escorted,raw:escorted,110
raw:工作关系,raw:工作关系,110
raw:打击对象,raw:打击对象,110
raw:入党,raw:入党,109
raw:参与方,participated_in,109
raw:指挥者,commanded,109
raw:领导参与,raw:领导参与,109
raw:加入,raw:加入,108
raw:参加,raw:参加,108
raw:工作区域,stationed_at,108
part_of,part_of,107
met_with,met_with,106
raw:任职关系,raw:任职关系,106
raw:袭击,raw:袭击,106
imprisoned_at,raw:imprisoned_at,105
raw:侦查,raw:侦查,105
raw:成立,created,104
raw:活动范围,raw:活动范围,103
mentioned_in,mentioned_in,102
,depicts,101
part_of,raw:part_of,101
raw:主体-事件,raw:主体-事件,101
raw:关联地点-人物,raw:关联地点-人物,100
raw:独立,raw:独立,100
raw:行军路线,raw:行军路线,100
raw:收复,raw:收复,99
raw:作战地点,fought_at,98
