年,总数,严格层,上下文层,未决层
1853,1,0,1,0
1859,2,1,1,0
1872,1,0,0,1
1881,1,0,1,0
1883,1,0,1,0
1885,1,0,1,0
1886,2,0,2,0
1887,1,0,1,0
1888,1,0,1,0
1889,1,0,1,0
1890,1,0,0,1
1891,3,0,3,0
1892,3,0,3,0
1893,6,0,5,1
1894,15,1,10,4
1895,5,0,5,0
1896,5,1,3,1
1897,5,0,5,0
1898,8,0,8,0
1899,12,0,11,1
1900,8,0,7,1
1901,18,0,18,0
1902,16,1,13,2
1903,16,1,9,6
1904,16,1,14,1
1905,8,1,6,1
1906,12,0,8,4
1907,11,0,9,2
1908,13,1,8,4
1909,7,0,6,1
1910,17,1,13,3
1911,467,24,366,77
1912,12,0,11,1
1913,18,2,8,8
1914,46,1,31,14
1915,20,0,18,2
1916,13,1,12,0
1917,17,0,13,4
1918,29,2,26,1
1919,243,7,158,78
1920,554,13,409,132
1921,375,15,290,70
1922,361,21,247,93
1923,426,31,305,90
1924,2680,109,2118,453
1925,901,45,624,232
1926,1259,71,913,275
1927,23197,718,18104,4375
1928,1325,101,960,264
1929,683,47,491,145
1930,1871,93,1387,391
1931,623,40,459,124
1932,676,30,501,145
1933,638,36,479,123
1934,908,34,730,144
1935,2407,52,1933,422
1936,669,25,533,111
1937,8109,200,6230,1679
1938,1361,36,1064,261
1939,944,35,723,186
1940,1425,45,1031,349
1941,1341,29,982,330
1942,388,14,303,71
1943,420,10,308,102
1944,482,12,377,93
1945,9506,206,7433,1867
1946,882,20,635,227
1947,1503,42,1169,292
1948,2033,64,1611,358
1949,7121,223,5369,1529
1950,1133,19,867,247
1951,160,1,122,37
1952,63,3,43,17
1953,28,1,24,3
1954,30,0,21,9
1955,27,0,26,1
1956,24,1,21,2
1957,8,0,7,1
1958,17,0,14,3
1959,16,2,7,7
1960,16,0,16,0
1961,6,0,6,0
1962,14,0,10,4
1963,6,0,4,2
1964,13,0,9,4
1965,6,0,4,2
1966,6,1,4,1
1967,5,2,3,0
1968,1,0,1,0
1969,5,0,5,0
1970,6,0,5,1
1971,1,0,0,1
1972,4,0,4,0
1973,1,0,0,1
1974,7,0,7,0
1975,5,0,3,2
1976,2,0,2,0
1978,12,1,5,6
1979,3,0,1,2
1980,3,1,1,1
1981,9,0,9,0
1982,10,1,9,0
1983,11,0,8,3
1984,17,0,17,0
1985,15,0,12,3
1986,11,0,10,1
1987,13,0,7,6
1988,9,1,7,1
1989,2,1,1,0
1990,7,0,6,1
1992,2,0,1,1
1993,2,1,1,0
1994,2,0,2,0
1995,1,0,0,1
1996,4,0,3,1
1997,3,0,3,0
1998,3,0,3,0
1999,7,1,5,1
2000,1,0,1,0
2002,1,0,0,1
2003,1,0,1,0
2005,1,0,1,0
2006,1,0,1,0
2008,3,0,3,0
2010,3,0,2,1
2011,1,0,1,0
2014,2,0,2,0
2017,2,0,2,0
2018,1,0,1,0
2020,3,0,3,0
2021,2,0,2,0
2022,1,0,1,0
2024,1,0,1,0
