实体名,类型,度
红军,Organization,6986
毛泽东,Person,4932
重庆,AdministrativeRegion,3529
汉口,AdministrativeRegion,3153
上海,AdministrativeRegion,2413
贺龙,Person,2328
皖南事变,Event,2231
新四军,Organization,2051
周恩来,Person,1952
红六军团,Organization,1514
南京,AdministrativeRegion,1510
朱德,Person,1501
红军长征,Event,1481
方志敏,Person,1289
陈毅,Person,1242
红二军团,Organization,1198
南昌起义,Event,1134
四渡赤水,Event,1132
红三军,Organization,981
遵义会议,Event,915
昆明,AdministrativeRegion,883
红四方面军,Organization,876
中共中央,Organization,837
武汉会战,Event,831
刘伯承,Person,830
渡江战役,Event,809
罗炳辉,Person,770
刘少奇,Person,763
成都,AdministrativeRegion,745
董必武,Person,729
毕节,Place,716
江西,AdministrativeRegion,710
游击队,Organization,702
秋收起义,Event,683
解放军,Organization,678
党组织,Organization,650
恽代英,Person,647
金沙江,Place,646
中国共产党,Organization,642
贵州,AdministrativeRegion,641
武工队,Organization,640
粟裕,Person,639
彭德怀,Person,639
县委,Organization,634
土地改革,Event,627
南昌,Place,619
长沙,AdministrativeRegion,616
《新华日报》,Document,611
湖南,AdministrativeRegion,606
重庆谈判,Event,602
四川(川东),Place,602
罗世文,Person,566
夏曦,Person,550
蒋介石,Person,545
南昌城工部,Organization,544
土地革命,Event,542
任弼时,Person,532
中央红军,Organization,525
张国焘,Person,525
云南,AdministrativeRegion,518
贵阳,AdministrativeRegion,512
红七军,Organization,512
群众,Concept,505
邓小平,Person,495
王朴,Person,489
群众,SocialGroup,479
杨闇公,Person,475
红九军团,Organization,474
剿匪斗争,Event,466
五卅运动,Event,465
抗日救亡运动,Event,461
周逸群,Person,457
陈伯钧,Person,453
朱家璧,Person,444
彭雪枫,Person,442
湖北武昌,Place,427
淮海战役,Event,421
乌江,Place,418
瞿秋白,Person,417
马日事变,Event,412
省工委,Organization,412
肖克,Person,404
土地改革运动,Event,402
作者,Person,400
八七会议,Event,398
邓中夏,Person,394
井冈山,Place,394
叶挺,Person,393
邵式平,Person,392
马日事变,Event,390
向天培,Person,384
肖楚女,Person,382
乔光鉴,Person,380
江北县,Place,377
红一方面军,Organization,377
黄道,Person,376
北碚,Place,375
长征,Event,372
陈赓,Person,371
三支队,Organization,368
綦江,AdministrativeRegion,362
红四军,Organization,358
李健,Person,350
五四运动,Event,344
剿匪行动,Event,343
泸西县,Place,342
部队,Organization,341
红十军,Organization,335
省委,Organization,334
江津,AdministrativeRegion,333
何功伟,Person,328
谭震、林,Person,326
湖北,AdministrativeRegion,322
李鑫,Person,319
徐州,AdministrativeRegion,316
特支,Organization,316
中央苏区,Place,315
李鸣珂,Person,315
'读书会',Event,314
叶剑英,Person,309
苏维埃政府,Organization,309
阮俊臣,Person,307
皖南特委,Organization,306
大定,Place,304
遵义,Place,303
红三军团,Organization,300
李立三,Person,300
党支部,Organization,300
红一军团,Organization,299
段德昌,Person,297
减租减息运动,Event,296
陶昌宜,Person,294
宜昌,AdministrativeRegion,294
皖西,Place,292
江苏省委,Organization,290
滇西工委,Organization,289
毕节地区,Place,288
湘南起义,Event,287
地下党,Organization,286
罗平县,Place,284
九江,Place,284
邓子恢,Person,283
李富春,Person,282
昭通,AdministrativeRegion,280
赫章县,Place,279
农民协会,Organization,278
吉安,Place,277
三·三一惨案,Event,275
高敬亭,Person,274
卢汉,Person,271
