主语类型,谓词,断言数
Person,raw:关联,33774
Person,raw:发生于,25265
Person,participated_in,20674
Person,led,17453
Organization,raw:关联,15554
Person,raw:participated_in,12917
Organization,raw:发生于,9975
Event,occurred_at,9322
Event,raw:发生于,9153
Person,active_at,8812
Event,raw:关联,8372
Person,raw:led,7494
Place,raw:发生于,6405
Place,raw:关联,5758
Person,held_position_in,4663
Organization,led,4484
Person,organized,4257
Organization,raw:led,4254
Person,raw:held_position_in,3623
Person,member_of,3584
Organization,raw:member_of,3565
Organization,organized,2971
Organization,participated_in,2691
Person,influenced,2377
Event,raw:participated_in,2348
Person,commanded,2204
Organization,active_at,2073
Person,raw:member_of,1885
Organization,raw:organized,1742
AdministrativeRegion,raw:发生于,1737
Organization,raw:participated_in,1614
Event,influenced,1503
Person,raw:organized,1498
Spirit,has_value_facet,1494
Person,supported,1470
Organization,member_of,1447
Person,worked_at,1318
Person,guided,1283
Person,raw:active_at,1262
Institution,raw:关联,1197
CreativeWork,mentioned_in,1184
Organization,influenced,1164
Person,raw:革命,1148
Person,raw:关系待定,1147
AdministrativeRegion,raw:关联,1132
Concept,raw:关联,1111
Event,raw:embodied_in_event,1067
Place,raw:member_of,1048
Event,raw:led,1010
Person,raw:牺牲于,1002
Artifact,raw:关联,994
Organization,raw:发生地,959
Person,contacted,947
Organization,stationed_at,891
Concept,raw:见于证据记录,857
Person,raw:事件发生地,837
Organization,fought_at,820
Organization,raw:事件发生地,812
Person,raw:发展,806
Person,raw:通信,794
Person,fought_at,779
Event,raw:organized,775
Organization,carried_out,753
Institution,raw:发生于,740
Person,created,712
Concept,raw:participated_in,711
Person,opposed,708
Organization,raw:active_at,702
Concept,raw:mentioned_in,701
Event,raw:member_of,692
Person,collaborated_with,681
Person,carried_out,680
Event,raw:发生地,637
Person,raw:籍贯,637
Organization,raw:held_position_in,631
Person,raw:commanded,611
Person,stationed_at,607
Place,raw:地理关联,598
Event,raw:事件-地点,593
Document,raw:关联,583
Person,responsible_for,583
Document,raw:mentioned_in,578
Event,raw:时间关联,573
Person,died_at,567
Place,raw:participated_in,560
Person,raw:disseminates,545
Person,raw:人物-事件,545
Organization,captured,542
Organization,occurred_at,540
Concept,raw:关联人物,519
Organization,traveled_to,515
Place,raw:active_at,513
Organization,raw:隶属,509
Organization,raw:隶属关系,507
Document,raw:关联人物,504
Person,raw:组织关系,504
Place,raw:organized,493
Organization,supported,488
Document,raw:见于证据记录,481
Person,raw:originated_at,480
Organization,governed,479
Person,raw:held_position,477
Person,raw:authored,444
Organization,guided,443
Person,governed,436
Person,raw:起义,436
Person,dispatched,432
Organization,dispatched,414
Person,raw:隶属,411
Organization,raw:革命,406
Concept,raw:发生于,404
Person,raw:发起,403
Person,raw:被捕,401
Place,raw:led,393
Person,raw:转移,391
Place,raw:革命,388
Organization,raw:见于证据记录,384
Person,raw:supported,371
Place,raw:发生地,371
Person,raw:教育,370
Person,raw:活动关联,368
Organization,liberated,367
Person,raw:领导关系,362
Person,imprisoned_at,361
Event,raw:战争,359
Organization,raw:发起,353
Event,raw:革命,347
Person,introduced,345
Person,traveled_to,344
Person,raw:embodied_in_event,342
Person,arrested_at,334
Organization,created,328
TimePeriod,raw:时间关联,325
Concept,raw:关联事件,322
Organization,located_in,321
Concept,raw:led,314
Organization,raw:disseminates,311
Organization,raw:发展,305
Artifact,mentioned_in,297
Place,raw:influenced,295
Spirit,raw:体现于地域,294
Person,colleague_of,292
Organization,raw:embodied_in_event,290
Organization,raw:军事行动,290
AdministrativeRegion,raw:发生地,287
Organization,raw:组成,284
Organization,commanded,283
Person,raw:报告,281
Person,raw:部署,281
Event,raw:起义,276
Organization,opposed,276
Person,killed,269
Person,raw:guided,268
Organization,raw:领导关系,264
Organization,raw:关系待定,263
Person,raw:镇压,262
Organization,raw:进攻,261
Person,raw:任职地,259
SocialGroup,raw:关联,259
Person,raw:主持,254
Place,raw:embodied_in_event,254
Person,raw:embodied_by_person,253
Person,recruited,252
Person,born_at,248
Event,raw:active_at,245
Person,reported_to,242
Place,raw:地点关联,242
Organization,raw:改编,240
Artifact,raw:关联人物,233
Organization,raw:战争,233
Organization,raw:部署,229
Organization,raw:关联人物,224
Concept,raw:关联地点,223
Event,raw:supported,223
Person,raw:人物-地点,223
Person,raw:进攻,223
Concept,raw:关联组织,222
Person,raw:相关,222
Organization,raw:组织关系,219
Spirit,raw:关联,219
Organization,raw:supported,218
Organization,raw:carried_out,213
Person,captured,213
Organization,raw:组织-事件,209
Organization,collaborated_with,207
Organization,raw:guided,206
Person,raw:创建者,205
Person,raw:studied_at,204
Organization,raw:镇压,203
Organization,raw:作战区域,202
Person,raw:created,202
Organization,raw:组织-成员,200
