宾语类型,谓词,断言数
Place,raw:发生于,34033
Event,participated_in,22380
Place,raw:关联,18634
Person,raw:关联,14319
Event,raw:关联,13937
Event,led,10819
Organization,led,10675
Organization,raw:关联,10294
AdministrativeRegion,raw:发生于,9061
Place,active_at,8952
Place,occurred_at,7823
Organization,raw:participated_in,6099
Place,raw:led,5004
Organization,member_of,4952
Person,raw:led,4783
Event,raw:发生于,4626
Organization,held_position_in,4112
Event,organized,4036
Place,raw:participated_in,3818
Person,raw:participated_in,3732
AdministrativeRegion,raw:关联,3288
Person,raw:member_of,3277
Organization,organized,3034
Event,raw:participated_in,2352
Institution,raw:关联,2293
Concept,raw:见于证据记录,2197
Organization,raw:发生于,2153
Institution,raw:发生于,2106
Artifact,raw:关联,2000
AdministrativeRegion,occurred_at,1953
Event,commanded,1868
Organization,raw:member_of,1839
Place,raw:held_position_in,1728
Concept,raw:关联,1667
Person,raw:关联人物,1624
Event,influenced,1569
AdministrativeRegion,active_at,1560
Place,fought_at,1508
Organization,raw:led,1474
ValueFacet,has_value_facet,1453
Document,mentioned_in,1448
Place,raw:事件发生地,1445
Document,raw:mentioned_in,1434
Place,raw:member_of,1418
Event,carried_out,1403
Place,stationed_at,1362
Place,raw:organized,1359
AdministrativeRegion,raw:active_at,1260
Organization,influenced,1245
Person,raw:发生于,1130
Place,raw:发生地,1113
Person,raw:organized,1094
Document,raw:关联,1060
Person,influenced,1047
Person,raw:held_position_in,991
Spirit,raw:关联,975
Organization,raw:organized,933
Place,influenced,929
AdministrativeRegion,raw:participated_in,927
Event,raw:embodied_in_event,876
Organization,raw:held_position_in,865
Organization,participated_in,849
Person,contacted,833
Place,worked_at,734
Place,raw:革命,727
Event,raw:关联事件,705
Place,traveled_to,700
Institution,raw:participated_in,694
Place,governed,690
Place,captured,684
Organization,created,677
Organization,raw:隶属,674
AdministrativeRegion,raw:led,666
Event,supported,665
Place,raw:active_at,659
Organization,supported,658
Person,collaborated_with,652
Event,guided,641
TimePeriod,raw:时间关联,624
Event,raw:led,615
Organization,commanded,614
Person,supported,608
Person,raw:发展,603
Event,raw:member_of,583
Organization,raw:关联组织,578
Person,dispatched,562
Event,raw:organized,558
Place,raw:地理关联,554
Concept,raw:led,550
Place,raw:籍贯,549
Place,raw:牺牲于,533
Organization,guided,529
Person,guided,518
Place,died_at,514
Place,raw:originated_at,502
Event,raw:发生地,498
Organization,raw:隶属关系,493
AdministrativeRegion,raw:发生地,488
Event,raw:时间关联,473
Event,raw:革命,473
Place,raw:embodied_in_event,471
Person,opposed,466
Place,liberated,464
Person,raw:革命,457
Place,raw:事件-地点,454
Place,raw:关联地点,452
Event,raw:发起,448
Place,raw:关系待定,447
Event,raw:人物-事件,446
Person,raw:通信,423
Concept,raw:participated_in,412
Person,raw:组织关系,406
Place,raw:转移,401
Place,located_in,399
Concept,raw:发生于,397
Person,raw:关系待定,394
Institution,active_at,378
Person,killed,376
Institution,led,375
Event,raw:disseminates,359
Institution,held_position_in,358
Place,raw:supported,357
Event,raw:战争,355
Person,introduced,345
Event,raw:起义,344
Organization,mentioned_in,337
Event,raw:部署,331
Place,raw:进攻,327
Institution,raw:led,326
Organization,raw:革命,321
Person,raw:领导关系,318
Place,raw:commanded,318
Place,raw:战争,317
Place,raw:军事行动,316
Organization,raw:active_at,314
Concept,raw:held_position_in,304
Event,raw:held_position_in,303
Organization,raw:发展,300
Person,recruited,296
Person,colleague_of,292
Event,raw:influenced,291
AdministrativeRegion,raw:关系待定,289
Organization,raw:通信,288
Person,raw:active_at,288
Event,raw:liberated,285
Place,arrested_at,284
Institution,worked_at,283
Organization,opposed,283
Organization,raw:embodied_in_event,282
Person,appointed,282
Place,raw:体现于地域,282
Event,raw:牺牲于,279
Concept,raw:active_at,278
Person,raw:embodied_by_person,278
Place,imprisoned_at,273
Organization,raw:改编,272
Place,responsible_for,261
Organization,raw:组织关系,260
Event,raw:supported,253
Person,raw:隶属,252
Person,raw:组织-成员,251
Concept,raw:organized,247
Place,raw:活动关联,245
TimePeriod,raw:关联,242
CulturalSite,raw:关联,238
Event,opposed,236
Place,raw:通信,234
Institution,raw:organized,233
Organization,collaborated_with,233
AdministrativeRegion,raw:事件-地点,232
Organization,raw:关系待定,232
Place,raw:影响范围,232
Place,born_at,228
Event,raw:carried_out,226
Document,raw:participated_in,224
Organization,raw:held_position,224
AdministrativeRegion,raw:member_of,223
Event,raw:镇压,223
Event,raw:组织-事件,221
TimePeriod,raw:发生于,221
AdministrativeRegion,raw:事件发生地,218
Organization,contacted,218
Place,raw:guided,218
Place,raw:created,217
Event,raw:实施,216
Person,raw:被捕,214
Place,raw:发展,208
Event,raw:主持,207
Place,raw:作战区域,207
Place,raw:任职地,206
AdministrativeRegion,raw:革命,203
Organization,raw:领导关系,203
Place,raw:隶属关系,203
AdministrativeRegion,raw:occurred_at,200
