省份,主语类型,断言数
上海市,AdministrativeRegion,109
上海市,Artifact,10
上海市,Concept,27
上海市,CreativeWork,3
上海市,CulturalSite,1
上海市,Document,21
上海市,Event,432
上海市,Institution,39
上海市,Organization,366
上海市,Person,2046
上海市,Place,55
上海市,SocialGroup,11
上海市,Spirit,27
上海市,TimePeriod,3
云南省,AdministrativeRegion,123
云南省,Artifact,47
云南省,Concept,52
云南省,CreativeWork,2
云南省,CulturalSite,8
云南省,Document,24
云南省,Event,869
云南省,Institution,230
云南省,Organization,2462
云南省,Person,4661
云南省,Place,546
云南省,Position,2
云南省,SocialGroup,2
云南省,Spirit,27
云南省,TimePeriod,11
北京市,Document,1
北京市,Event,2
北京市,Person,9
四川省,AdministrativeRegion,97
四川省,Artifact,35
四川省,Concept,41
四川省,CulturalSite,12
四川省,Document,56
四川省,Event,889
四川省,Institution,99
四川省,Organization,2110
四川省,Person,5883
四川省,Place,548
四川省,Position,5
四川省,SocialGroup,2
四川省,Spirit,39
四川省,TimePeriod,7
四川省/贵州省/云南省,AdministrativeRegion,6
四川省/贵州省/云南省,Artifact,1
四川省/贵州省/云南省,Concept,6
四川省/贵州省/云南省,CulturalSite,9
四川省/贵州省/云南省,Document,3
四川省/贵州省/云南省,Event,61
四川省/贵州省/云南省,Institution,2
四川省/贵州省/云南省,Organization,205
四川省/贵州省/云南省,Person,236
四川省/贵州省/云南省,Place,36
四川省/贵州省/云南省,Spirit,1
天津市,Person,2
安徽省,AdministrativeRegion,75
安徽省,Artifact,21
安徽省,Concept,49
安徽省,CulturalSite,3
安徽省,Document,17
安徽省,Event,1051
安徽省,Institution,37
安徽省,Organization,1580
安徽省,Person,2816
安徽省,Place,579
安徽省,Position,1
安徽省,SocialGroup,4
安徽省,Spirit,25
安徽省,TimePeriod,9
安徽省/江西省,AdministrativeRegion,2
安徽省/江西省,Concept,2
安徽省/江西省,Event,16
安徽省/江西省,Organization,110
安徽省/江西省,Person,112
安徽省/江西省,Place,5
安徽省/江西省,Position,1
安徽省/江西省,TimePeriod,2
安徽省/湖北省,AdministrativeRegion,3
安徽省/湖北省,Artifact,2
安徽省/湖北省,Concept,1
安徽省/湖北省,Document,3
安徽省/湖北省,Event,72
安徽省/湖北省,Institution,1
安徽省/湖北省,Organization,125
安徽省/湖北省,Person,291
安徽省/湖北省,Place,80
安徽省/湖北省,Spirit,1
安徽省/湖北省,TimePeriod,1
山东省,Person,5
山西省,Organization,2
山西省,Person,2
广东省,AdministrativeRegion,1
广东省,Concept,1
广东省,Event,5
广东省,Institution,1
广东省,Organization,6
广东省,Person,69
广西壮族自治区,Document,1
广西壮族自治区,Organization,4
广西壮族自治区,Person,19
广西壮族自治区,Place,1
江苏省,AdministrativeRegion,54
江苏省,Artifact,40
江苏省,Concept,87
江苏省,CulturalSite,2
江苏省,Document,16
江苏省,Event,960
江苏省,Institution,62
江苏省,Organization,1351
江苏省,Person,2852
江苏省,Place,568
江苏省,Position,6
江苏省,SocialGroup,4
江苏省,Spirit,33
江苏省,TimePeriod,12
江苏省/安徽省,AdministrativeRegion,4
江苏省/安徽省,Artifact,3
江苏省/安徽省,Concept,4
江苏省/安徽省,Document,1
江苏省/安徽省,Event,107
江苏省/安徽省,Institution,4
江苏省/安徽省,Organization,249
江苏省/安徽省,Person,336
江苏省/安徽省,Place,60
江苏省/安徽省,Position,1
江苏省/安徽省,TimePeriod,2
江西省,AdministrativeRegion,137
江西省,Artifact,33
江西省,Concept,58
江西省,CulturalSite,6
江西省,Document,30
江西省,Event,947
江西省,Institution,103
江西省,Organization,1678
江西省,Person,5071
江西省,Place,407
江西省,Position,3
江西省,SocialGroup,4
江西省,Spirit,22
江西省,TimePeriod,13
江西省/湖北省,Event,2
江西省/湖北省,Person,1
江西省/湖北省/湖南省,AdministrativeRegion,41
江西省/湖北省/湖南省,Artifact,1
江西省/湖北省/湖南省,Concept,3
江西省/湖北省/湖南省,CreativeWork,1
江西省/湖北省/湖南省,Document,6
江西省/湖北省/湖南省,Event,166
江西省/湖北省/湖南省,Institution,1
江西省/湖北省/湖南省,Organization,192
江西省/湖北省/湖南省,Person,350
江西省/湖北省/湖南省,Place,54
江西省/湖北省/湖南省,Position,1
江西省/湖北省/湖南省,Spirit,1
江西省/湖北省/湖南省,TimePeriod,1
江西省/湖南省,AdministrativeRegion,7
江西省/湖南省,Artifact,1
江西省/湖南省,Concept,2
江西省/湖南省,Event,92
江西省/湖南省,Institution,3
江西省/湖南省,Organization,211
江西省/湖南省,Person,338
江西省/湖南省,Place,47
河北省,Person,3
河南省,Organization,5
河南省,Person,9
浙江省,AdministrativeRegion,5
浙江省,Artifact,1
浙江省,Concept,8
浙江省,CulturalSite,1
浙江省,Event,32
浙江省,Institution,4
浙江省,Organization,80
浙江省,Person,294
浙江省,Place,29
浙江省,Spirit,23
海南省,Organization,2
海南省,Person,3
湖北省,AdministrativeRegion,149
湖北省,Artifact,50
湖北省,Concept,60
湖北省,CulturalSite,5
湖北省,Document,26
湖北省,Event,843
湖北省,Institution,84
湖北省,Organization,1250
湖北省,Person,4183
湖北省,Place,337
湖北省,Position,2
湖北省,SocialGroup,4
湖北省,Spirit,26
湖北省,TimePeriod,11
湖北省/湖南省,AdministrativeRegion,1
湖北省/湖南省,Artifact,2
湖北省/湖南省,Concept,8
湖北省/湖南省,Document,5
湖北省/湖南省,Event,91
湖北省/湖南省,Organization,242
湖北省/湖南省,Person,510
湖北省/湖南省,Place,96
湖北省/湖南省,Position,1
湖南省,AdministrativeRegion,91
湖南省,Artifact,17
湖南省,Concept,42
湖南省,CreativeWork,2
湖南省,Document,18
湖南省,Event,682
湖南省,Institution,58
湖南省,Organization,1073
湖南省,Person,3942
湖南省,Place,269
湖南省,Position,3
湖南省,SocialGroup,7
湖南省,Spirit,23
湖南省,TimePeriod,5
甘肃省,Organization,1
甘肃省,Person,3
福建省,Event,2
福建省,Organization,7
福建省,Person,30
福建省,Place,2
西藏自治区,Organization,2
西藏自治区,Person,1
西藏自治区,Spirit,22
贵州省,AdministrativeRegion,74
贵州省,Artifact,42
贵州省,Concept,134
贵州省,CreativeWork,1
贵州省,CulturalSite,16
贵州省,Document,33
贵州省,Event,1547
贵州省,Institution,59
贵州省,Organization,2740
贵州省,Person,4903
贵州省,Place,885
贵州省,Position,4
贵州省,SocialGroup,19
贵州省,Spirit,35
贵州省,TimePeriod,11
重庆市,AdministrativeRegion,55
重庆市,Artifact,10
重庆市,Concept,21
重庆市,CulturalSite,10
重庆市,Document,40
重庆市,Event,453
重庆市,Institution,176
重庆市,Organization,742
重庆市,Person,3408
重庆市,Place,274
重庆市,SocialGroup,2
重庆市,Spirit,35
重庆市,TimePeriod,9
陕西省,Concept,1
陕西省,Document,1
陕西省,Event,2
陕西省,Person,18
陕西省,Place,1
青海省,Organization,2
青海省,Person,17
青海省,Spirit,20
香港特别行政区,Document,1
香港特别行政区,Person,2
黑龙江省,Person,1
