历史阶段,阶段序,省份,观测层,时间证据数,地点证据数,语境证据数
解放战争,4,贵州省,relation_context,0,0,1
全民族抗日战争,3,江苏省,relation_context,0,0,1
解放战争,4,贵州省,relation_context,0,0,1
解放战争,4,安徽省,relation_context,0,0,1
解放战争,4,重庆市,relation_context,0,0,1
解放战争,4,江西省,relation_context,0,0,1
土地革命战争,2,四川省,relation_context,0,0,1
土地革命战争,2,贵州省,relation_context,0,0,1
社会主义革命和建设,5,湖北省,asserted_event_spacetime,1,1,1
全民族抗日战争,3,湖北省,relation_context,0,0,1
社会主义革命和建设,5,四川省,relation_context,0,0,2
建党与大革命,1,江西省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,4
解放战争,4,云南省,relation_context,0,0,1
社会主义革命和建设,5,四川省,relation_context,0,0,1
全民族抗日战争,3,安徽省,relation_context,0,0,17
社会主义革命和建设,5,贵州省,relation_context,0,0,1
土地革命战争,2,上海市,relation_context,0,0,1
社会主义革命和建设,5,云南省,relation_context,0,0,1
建党与大革命,1,云南省,relation_context,0,0,1
解放战争,4,云南省,relation_context,0,0,1
解放战争,4,云南省,relation_context,0,0,1
解放战争,4,贵州省,relation_context,0,0,1
社会主义革命和建设,5,贵州省,relation_context,0,0,1
社会主义革命和建设,5,江苏省,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
全民族抗日战争,3,安徽省,relation_context,0,0,1
全民族抗日战争,3,上海市,relation_context,0,0,1
土地革命战争,2,江苏省,relation_context,0,0,1
土地革命战争,2,贵州省,relation_context,0,0,1
建党与大革命,1,四川省,relation_context,0,0,1
土地革命战争,2,湖北省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
土地革命战争,2,江苏省,asserted_event_spacetime,1,1,1
社会主义革命和建设,5,四川省,relation_context,0,0,1
建党与大革命,1,重庆市,relation_context,0,0,1
解放战争,4,湖南省,relation_context,0,0,1
土地革命战争,2,贵州省,relation_context,0,0,2
全民族抗日战争,3,江西省,relation_context,0,0,1
社会主义革命和建设,5,贵州省,relation_context,0,0,1
土地革命战争,2,江苏省,relation_context,0,0,1
土地革命战争,2,湖北省,asserted_event_spacetime,1,1,0
社会主义革命和建设,5,贵州省,relation_context,0,0,1
全民族抗日战争,3,四川省,relation_context,0,0,1
解放战争,4,贵州省,relation_context,0,0,1
土地革命战争,2,贵州省,relation_context,0,0,1
解放战争,4,云南省,relation_context,0,0,1
社会主义革命和建设,5,湖南省,relation_context,0,0,1
建党与大革命,1,江西省,asserted_event_spacetime,1,1,1
土地革命战争,2,湖北省,relation_context,0,0,2
解放战争,4,安徽省,relation_context,0,0,3
建党与大革命,1,湖北省,relation_context,0,0,1
解放战争,4,湖南省,relation_context,0,0,1
建党与大革命,1,湖南省,relation_context,0,0,1
全民族抗日战争,3,江苏省,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,1
建党与大革命,1,江苏省,relation_context,0,0,1
建党与大革命,1,湖南省,relation_context,0,0,1
土地革命战争,2,贵州省,relation_context,0,0,1
解放战争,4,四川省,relation_context,0,0,3
解放战争,4,云南省,relation_context,0,0,1
全民族抗日战争,3,云南省,relation_context,0,0,1
土地革命战争,2,湖北省,relation_context,0,0,1
土地革命战争,2,云南省,relation_context,0,0,1
全民族抗日战争,3,江苏省,relation_context,0,0,1
全民族抗日战争,3,江西省,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
解放战争,4,云南省,relation_context,0,0,1
全民族抗日战争,3,江苏省,relation_context,0,0,3
土地革命战争,2,湖北省,relation_context,0,0,2
土地革命战争,2,湖南省,relation_context,0,0,2
全民族抗日战争,3,江苏省,relation_context,0,0,1
社会主义革命和建设,5,湖南省,relation_context,0,0,1
解放战争,4,安徽省,relation_context,0,0,1
社会主义革命和建设,5,重庆市,relation_context,0,0,1
解放战争,4,江苏省,relation_context,0,0,1
土地革命战争,2,湖南省,trusted_event_spacetime,2,2,2
土地革命战争,2,江西省,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
解放战争,4,湖南省,relation_context,0,0,3
全民族抗日战争,3,湖南省,relation_context,0,0,2
全民族抗日战争,3,安徽省,relation_context,0,0,1
解放战争,4,湖南省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,1
土地革命战争,2,四川省,relation_context,0,0,1
土地革命战争,2,云南省,relation_context,0,0,1
全民族抗日战争,3,江苏省,relation_context,0,0,1
土地革命战争,2,安徽省,relation_context,0,0,1
土地革命战争,2,江苏省,relation_context,0,0,1
社会主义革命和建设,5,湖北省,trusted_event_spacetime,2,3,5
土地革命战争,2,江西省,relation_context,0,0,1
建党与大革命,1,重庆市,relation_context,0,0,1
土地革命战争,2,四川省,relation_context,0,0,1
建党与大革命,1,安徽省,relation_context,0,0,1
解放战争,4,四川省,asserted_event_spacetime,1,1,1
全民族抗日战争,3,江苏省,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
社会主义革命和建设,5,重庆市,relation_context,0,0,1
全民族抗日战争,3,贵州省,relation_context,0,0,2
建党与大革命,1,湖南省,trusted_event_spacetime,1,2,2
社会主义革命和建设,5,贵州省,relation_context,0,0,1
全民族抗日战争,3,云南省,relation_context,0,0,1
解放战争,4,重庆市,relation_context,0,0,4
社会主义革命和建设,5,四川省,relation_context,0,0,1
土地革命战争,2,四川省,relation_context,0,0,2
社会主义革命和建设,5,湖北省,relation_context,0,0,1
解放战争,4,湖南省,asserted_event_spacetime,1,1,1
社会主义革命和建设,5,云南省,relation_context,0,0,1
解放战争,4,湖北省,relation_context,0,0,1
解放战争,4,四川省,relation_context,0,0,1
土地革命战争,2,贵州省,relation_context,0,0,1
社会主义革命和建设,5,江苏省,relation_context,0,0,1
土地革命战争,2,上海市,relation_context,0,0,1
建党与大革命,1,江西省,relation_context,0,0,1
解放战争,4,湖南省,relation_context,0,0,3
全民族抗日战争,3,湖北省,relation_context,0,0,1
土地革命战争,2,四川省,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
建党前传播与孕育,0,上海市,relation_context,0,0,1
解放战争,4,重庆市,relation_context,0,0,1
社会主义革命和建设,5,贵州省,asserted_event_spacetime,1,1,1
土地革命战争,2,江西省,relation_context,0,0,2
解放战争,4,江苏省,relation_context,0,0,1
全民族抗日战争,3,江苏省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,1
建党与大革命,1,湖南省,relation_context,0,0,3
建党与大革命,1,湖南省,relation_context,0,0,1
全民族抗日战争,3,安徽省,asserted_event_spacetime,1,2,1
建党与大革命,1,江西省,asserted_event_spacetime,1,1,1
社会主义革命和建设,5,四川省,asserted_event_spacetime,1,1,1
建党与大革命,1,湖北省,asserted_event_spacetime,1,1,1
全民族抗日战争,3,云南省,relation_context,0,0,1
社会主义革命和建设,5,江苏省,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
土地革命战争,2,四川省,relation_context,0,0,1
建党与大革命,1,湖南省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,1
全民族抗日战争,3,湖北省,relation_context,0,0,1
全民族抗日战争,3,安徽省,relation_context,0,0,1
解放战争,4,湖南省,relation_context,0,0,3
全民族抗日战争,3,上海市,relation_context,0,0,1
解放战争,4,江苏省,relation_context,0,0,1
解放战争,4,江苏省,asserted_event_spacetime,1,1,0
建党与大革命,1,上海市,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
全民族抗日战争,3,湖北省,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
解放战争,4,江西省,relation_context,0,0,1
全民族抗日战争,3,湖南省,relation_context,0,0,1
解放战争,4,江苏省,relation_context,0,0,1
解放战争,4,江西省,relation_context,0,0,1
建党与大革命,1,上海市,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
全民族抗日战争,3,安徽省,relation_context,0,0,1
全民族抗日战争,3,重庆市,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
土地革命战争,2,贵州省,relation_context,0,0,1
建党与大革命,1,江苏省,relation_context,0,0,1
全民族抗日战争,3,江苏省,trusted_event_spacetime,2,1,2
解放战争,4,云南省,relation_context,0,0,1
解放战争,4,云南省,relation_context,0,0,1
土地革命战争,2,四川省,relation_context,0,0,1
建党与大革命,1,贵州省,relation_context,0,0,1
建党与大革命,1,安徽省,relation_context,0,0,1
解放战争,4,江西省,relation_context,0,0,1
解放战争,4,安徽省,relation_context,0,0,7
土地革命战争,2,四川省,relation_context,0,0,1
建党与大革命,1,湖北省,relation_context,0,0,1
解放战争,4,上海市,relation_context,0,0,1
建党与大革命,1,湖南省,relation_context,0,0,5
土地革命战争,2,江苏省,relation_context,0,0,1
土地革命战争,2,四川省,relation_context,0,0,1
解放战争,4,湖北省,trusted_event_spacetime,2,3,5
社会主义革命和建设,5,贵州省,relation_context,0,0,1
社会主义革命和建设,5,四川省,relation_context,0,0,4
全民族抗日战争,3,江苏省,relation_context,0,0,1
土地革命战争,2,江苏省,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
建党前传播与孕育,0,安徽省,relation_context,0,0,1
社会主义革命和建设,5,湖南省,relation_context,0,0,1
土地革命战争,2,湖北省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,1
社会主义革命和建设,5,湖南省,asserted_event_spacetime,1,1,0
社会主义革命和建设,5,江苏省,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,2
建党与大革命,1,江西省,asserted_event_spacetime,1,1,0
解放战争,4,上海市,asserted_event_spacetime,1,1,1
全民族抗日战争,3,湖北省,trusted_event_spacetime,1,2,0
解放战争,4,江苏省,relation_context,0,0,1
土地革命战争,2,贵州省,relation_context,0,0,1
社会主义革命和建设,5,贵州省,trusted_event_spacetime,2,1,1
建党与大革命,1,湖南省,relation_context,0,0,1
全民族抗日战争,3,江苏省,relation_context,0,0,1
社会主义革命和建设,5,四川省,asserted_event_spacetime,2,2,0
社会主义革命和建设,5,重庆市,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,2
建党与大革命,1,湖南省,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
土地革命战争,2,湖北省,relation_context,0,0,1
建党与大革命,1,湖南省,relation_context,0,0,1
土地革命战争,2,湖北省,relation_context,0,0,1
土地革命战争,2,四川省,relation_context,0,0,2
土地革命战争,2,四川省,relation_context,0,0,2
解放战争,4,江西省,relation_context,0,0,1
解放战争,4,云南省,relation_context,0,0,1
全民族抗日战争,3,云南省,relation_context,0,0,1
土地革命战争,2,四川省,relation_context,0,0,1
解放战争,4,四川省,relation_context,0,0,1
社会主义革命和建设,5,安徽省,asserted_event_spacetime,1,1,1
建党与大革命,1,上海市,relation_context,0,0,1
解放战争,4,云南省,relation_context,0,0,1
解放战争,4,安徽省,relation_context,0,0,1
全民族抗日战争,3,安徽省,relation_context,0,0,3
土地革命战争,2,贵州省,relation_context,0,0,1
建党与大革命,1,江西省,asserted_event_spacetime,3,1,1
解放战争,4,四川省,asserted_event_spacetime,1,1,2
社会主义革命和建设,5,云南省,relation_context,0,0,2
土地革命战争,2,四川省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,1
社会主义革命和建设,5,重庆市,trusted_event_spacetime,2,4,8
全民族抗日战争,3,重庆市,relation_context,0,0,1
全民族抗日战争,3,四川省,relation_context,0,0,1
解放战争,4,湖北省,relation_context,0,0,1
全民族抗日战争,3,湖南省,relation_context,0,0,5
建党与大革命,1,湖北省,relation_context,0,0,1
社会主义革命和建设,5,安徽省,relation_context,0,0,5
解放战争,4,安徽省,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,1
土地革命战争,2,贵州省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,1
建党与大革命,1,四川省,relation_context,0,0,1
全民族抗日战争,3,四川省,relation_context,0,0,6
全民族抗日战争,3,贵州省,relation_context,0,0,1
建党与大革命,1,江苏省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,1
解放战争,4,四川省,relation_context,0,0,1
全民族抗日战争,3,江苏省,relation_context,0,0,1
解放战争,4,云南省,relation_context,0,0,1
社会主义革命和建设,5,上海市,asserted_event_spacetime,1,1,1
解放战争,4,贵州省,asserted_event_spacetime,1,2,1
社会主义革命和建设,5,贵州省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,3
土地革命战争,2,江西省,relation_context,0,0,1
社会主义革命和建设,5,湖北省,relation_context,0,0,1
建党与大革命,1,湖南省,relation_context,0,0,1
解放战争,4,江苏省,asserted_event_spacetime,2,1,0
社会主义革命和建设,5,湖北省,asserted_event_spacetime,1,1,1
全民族抗日战争,3,四川省,relation_context,0,0,1
土地革命战争,2,安徽省,relation_context,0,0,2
建党与大革命,1,上海市,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,1
全民族抗日战争,3,江西省,relation_context,0,0,2
解放战争,4,湖北省,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
全民族抗日战争,3,江苏省,relation_context,0,0,1
土地革命战争,2,江苏省,relation_context,0,0,1
社会主义革命和建设,5,云南省,relation_context,0,0,11
全民族抗日战争,3,贵州省,relation_context,0,0,1
全民族抗日战争,3,云南省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,4
土地革命战争,2,湖北省,relation_context,0,0,1
全民族抗日战争,3,云南省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,1
解放战争,4,贵州省,relation_context,0,0,3
全民族抗日战争,3,贵州省,relation_context,0,0,1
解放战争,4,贵州省,relation_context,0,0,1
解放战争,4,四川省,relation_context,0,0,2
社会主义革命和建设,5,上海市,asserted_event_spacetime,1,1,1
土地革命战争,2,云南省,relation_context,0,0,1
全民族抗日战争,3,云南省,relation_context,0,0,1
全民族抗日战争,3,云南省,relation_context,0,0,1
土地革命战争,2,湖北省,relation_context,0,0,1
社会主义革命和建设,5,四川省,relation_context,0,0,1
全民族抗日战争,3,江西省,trusted_event_spacetime,3,4,2
解放战争,4,云南省,relation_context,0,0,1
解放战争,4,贵州省,asserted_event_spacetime,1,1,1
解放战争,4,贵州省,relation_context,0,0,1
建党前传播与孕育,0,四川省,relation_context,0,0,1
土地革命战争,2,上海市,relation_context,0,0,2
土地革命战争,2,云南省,relation_context,0,0,1
全民族抗日战争,3,贵州省,relation_context,0,0,1
解放战争,4,云南省,relation_context,0,0,1
解放战争,4,湖北省,asserted_event_spacetime,18,2,0
土地革命战争,2,云南省,trusted_event_spacetime,2,1,1
解放战争,4,云南省,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
解放战争,4,贵州省,relation_context,0,0,3
土地革命战争,2,江苏省,relation_context,0,0,6
土地革命战争,2,江西省,relation_context,0,0,1
全民族抗日战争,3,湖北省,trusted_event_spacetime,2,1,0
全民族抗日战争,3,安徽省,relation_context,0,0,1
土地革命战争,2,四川省,relation_context,0,0,4
土地革命战争,2,湖北省,relation_context,0,0,2
土地革命战争,2,四川省,relation_context,0,0,1
土地革命战争,2,湖北省,relation_context,0,0,1
社会主义革命和建设,5,贵州省,relation_context,0,0,1
建党与大革命,1,湖北省,asserted_event_spacetime,1,2,4
解放战争,4,云南省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,1
建党与大革命,1,湖南省,relation_context,0,0,1
社会主义革命和建设,5,湖南省,relation_context,0,0,2
解放战争,4,浙江省,relation_context,0,0,1
土地革命战争,2,四川省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,2
建党与大革命,1,湖北省,relation_context,0,0,3
建党与大革命,1,江西省,relation_context,0,0,1
全民族抗日战争,3,安徽省,relation_context,0,0,1
土地革命战争,2,云南省,relation_context,0,0,1
解放战争,4,贵州省,relation_context,0,0,1
解放战争,4,湖南省,relation_context,0,0,1
解放战争,4,浙江省,relation_context,0,0,1
全民族抗日战争,3,湖南省,relation_context,0,0,2
建党与大革命,1,湖南省,relation_context,0,0,1
土地革命战争,2,湖北省,asserted_event_spacetime,1,1,1
土地革命战争,2,湖南省,relation_context,0,0,1
全民族抗日战争,3,江苏省,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,2
解放战争,4,上海市,relation_context,0,0,1
建党与大革命,1,四川省,relation_context,0,0,1
社会主义革命和建设,5,贵州省,relation_context,0,0,2
解放战争,4,上海市,relation_context,0,0,1
土地革命战争,2,贵州省,relation_context,0,0,1
解放战争,4,贵州省,relation_context,0,0,1
解放战争,4,云南省,relation_context,0,0,1
建党与大革命,1,湖南省,relation_context,0,0,2
建党与大革命,1,上海市,relation_context,0,0,1
建党与大革命,1,江苏省,relation_context,0,0,1
解放战争,4,云南省,relation_context,0,0,1
建党与大革命,1,江西省,asserted_event_spacetime,1,1,1
解放战争,4,上海市,relation_context,0,0,2
建党与大革命,1,上海市,relation_context,0,0,1
解放战争,4,重庆市,relation_context,0,0,1
解放战争,4,湖南省,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
全民族抗日战争,3,安徽省,relation_context,0,0,1
社会主义革命和建设,5,江西省,relation_context,0,0,3
全民族抗日战争,3,湖南省,relation_context,0,0,1
全民族抗日战争,3,贵州省,relation_context,0,0,1
土地革命战争,2,江西省,asserted_event_spacetime,1,1,1
社会主义革命和建设,5,贵州省,relation_context,0,0,1
土地革命战争,2,四川省,relation_context,0,0,1
全民族抗日战争,3,安徽省,relation_context,0,0,1
建党与大革命,1,湖南省,asserted_event_spacetime,1,1,0
社会主义革命和建设,5,云南省,relation_context,0,0,1
全民族抗日战争,3,贵州省,relation_context,0,0,1
全民族抗日战争,3,贵州省,relation_context,0,0,1
改革开放和社会主义现代化建设,6,四川省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,1
土地革命战争,2,贵州省,relation_context,0,0,1
土地革命战争,2,江西省,relation_context,0,0,1
建党与大革命,1,四川省,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
全民族抗日战争,3,安徽省,relation_context,0,0,1
土地革命战争,2,江西省,asserted_event_spacetime,1,1,1
解放战争,4,云南省,relation_context,0,0,1
全民族抗日战争,3,湖北省,relation_context,0,0,1
解放战争,4,贵州省,relation_context,0,0,1
解放战争,4,云南省,relation_context,0,0,1
解放战争,4,上海市,asserted_event_spacetime,1,1,5
土地革命战争,2,四川省,relation_context,0,0,2
土地革命战争,2,贵州省,relation_context,0,0,1
建党与大革命,1,上海市,relation_context,0,0,1
建党前传播与孕育,0,江西省,trusted_event_spacetime,2,1,1
土地革命战争,2,上海市,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,2
建党前传播与孕育,0,江苏省,relation_context,0,0,1
解放战争,4,四川省,relation_context,0,0,1
建党与大革命,1,江西省,relation_context,0,0,1
建党与大革命,1,安徽省,relation_context,0,0,1
社会主义革命和建设,5,云南省,relation_context,0,0,1
全民族抗日战争,3,湖北省,relation_context,0,0,1
解放战争,4,重庆市,relation_context,0,0,1
改革开放和社会主义现代化建设,6,江西省,relation_context,0,0,1
建党与大革命,1,江西省,asserted_event_spacetime,1,1,1
社会主义革命和建设,5,湖北省,relation_context,0,0,2
解放战争,4,云南省,relation_context,0,0,1
全民族抗日战争,3,贵州省,relation_context,0,0,1
土地革命战争,2,贵州省,relation_context,0,0,1
建党与大革命,1,四川省,relation_context,0,0,1
全民族抗日战争,3,浙江省,relation_context,0,0,1
社会主义革命和建设,5,江西省,relation_context,0,0,1
改革开放和社会主义现代化建设,6,重庆市,relation_context,0,0,2
解放战争,4,云南省,relation_context,0,0,1
解放战争,4,四川省,relation_context,0,0,1
土地革命战争,2,上海市,relation_context,0,0,1
解放战争,4,贵州省,relation_context,0,0,2
社会主义革命和建设,5,云南省,relation_context,0,0,1
建党与大革命,1,云南省,relation_context,0,0,1
全民族抗日战争,3,湖北省,relation_context,0,0,1
土地革命战争,2,湖南省,relation_context,0,0,1
全民族抗日战争,3,贵州省,relation_context,0,0,1
建党与大革命,1,湖北省,relation_context,0,0,1
全民族抗日战争,3,贵州省,relation_context,0,0,1
土地革命战争,2,上海市,relation_context,0,0,1
土地革命战争,2,云南省,trusted_event_spacetime,1,2,4
建党与大革命,1,湖南省,relation_context,0,0,1
土地革命战争,2,安徽省,relation_context,0,0,1
土地革命战争,2,湖北省,relation_context,0,0,1
全民族抗日战争,3,贵州省,relation_context,0,0,50
全民族抗日战争,3,上海市,relation_context,0,0,1
解放战争,4,江苏省,asserted_event_spacetime,1,1,1
解放战争,4,湖北省,relation_context,0,0,1
全民族抗日战争,3,湖南省,relation_context,0,0,1
土地革命战争,2,四川省,relation_context,0,0,1
全民族抗日战争,3,江苏省,relation_context,0,0,1
建党与大革命,1,上海市,relation_context,0,0,1
全民族抗日战争,3,云南省,relation_context,0,0,1
全民族抗日战争,3,贵州省,relation_context,0,0,1
建党前传播与孕育,0,安徽省,relation_context,0,0,3
解放战争,4,江苏省,relation_context,0,0,1
建党前传播与孕育,0,云南省,relation_context,0,0,2
解放战争,4,重庆市,relation_context,0,0,1
解放战争,4,湖南省,relation_context,0,0,2
全民族抗日战争,3,江苏省,asserted_event_spacetime,1,1,2
土地革命战争,2,湖北省,relation_context,0,0,1
社会主义革命和建设,5,江苏省,relation_context,0,0,2
土地革命战争,2,四川省,relation_context,0,0,1
建党与大革命,1,浙江省,relation_context,0,0,1
解放战争,4,湖南省,asserted_event_spacetime,1,1,1
全民族抗日战争,3,四川省,relation_context,0,0,1
全民族抗日战争,3,浙江省,relation_context,0,0,1
全民族抗日战争,3,安徽省,relation_context,0,0,1
解放战争,4,重庆市,relation_context,0,0,1
全民族抗日战争,3,江苏省,relation_context,0,0,1
全民族抗日战争,3,江苏省,relation_context,0,0,1
土地革命战争,2,上海市,relation_context,0,0,1
社会主义革命和建设,5,贵州省,relation_context,0,0,1
社会主义革命和建设,5,贵州省,relation_context,0,0,2
全民族抗日战争,3,江苏省,relation_context,0,0,1
解放战争,4,江苏省,relation_context,0,0,2
全民族抗日战争,3,江苏省,relation_context,0,0,1
建党前传播与孕育,0,上海市,asserted_event_spacetime,1,1,1
建党与大革命,1,湖南省,relation_context,0,0,1
全民族抗日战争,3,重庆市,relation_context,0,0,1
建党与大革命,1,江苏省,relation_context,0,0,1
社会主义革命和建设,5,上海市,asserted_event_spacetime,1,1,1
解放战争,4,云南省,relation_context,0,0,2
建党与大革命,1,上海市,relation_context,0,0,1
土地革命战争,2,云南省,relation_context,0,0,1
社会主义革命和建设,5,上海市,relation_context,0,0,1
全民族抗日战争,3,江苏省,relation_context,0,0,1
社会主义革命和建设,5,云南省,relation_context,0,0,1
建党与大革命,1,江西省,relation_context,0,0,1
全民族抗日战争,3,云南省,relation_context,0,0,1
社会主义革命和建设,5,湖南省,asserted_event_spacetime,1,1,1
全民族抗日战争,3,云南省,relation_context,0,0,1
社会主义革命和建设,5,江苏省,relation_context,0,0,1
解放战争,4,上海市,asserted_event_spacetime,1,1,1
全民族抗日战争,3,云南省,relation_context,0,0,1
土地革命战争,2,重庆市,relation_context,0,0,1
建党与大革命,1,湖北省,trusted_event_spacetime,2,2,3
土地革命战争,2,贵州省,relation_context,0,0,1
全民族抗日战争,3,江西省,relation_context,0,0,1
土地革命战争,2,四川省,relation_context,0,0,1
建党与大革命,1,上海市,relation_context,0,0,1
全民族抗日战争,3,安徽省,trusted_event_spacetime,1,9,0
土地革命战争,2,江苏省,relation_context,0,0,1
全民族抗日战争,3,浙江省,relation_context,0,0,1
解放战争,4,江苏省,asserted_event_spacetime,1,1,1
建党与大革命,1,湖南省,relation_context,0,0,2
建党与大革命,1,上海市,relation_context,0,0,1
全民族抗日战争,3,湖北省,asserted_event_spacetime,1,1,1
土地革命战争,2,湖北省,relation_context,0,0,1
