事件名,严格断言数,全部断言数,受控角色数,省域数,观测起,观测止,状态
遵义,0,1,0,0,,,context_only
津浦路东会合,0,3,0,0,,,context_only
游击战术,0,13,3,0,,,strict_backbone
群众缴地主武装,0,3,1,1,,,strict_backbone
南盘江南岸转移,1,2,2,0,,,strict_backbone
迎接解放斗争,0,19,8,2,1949-01-01,1949-12-31,strict_backbone
三十九团侦察排,0,1,1,0,,,strict_backbone
唐家溪游击大队,1,6,5,0,,,strict_backbone
建立群众抗日组织,0,1,1,0,,,strict_backbone
白马尖突围战斗,0,5,3,2,,,strict_backbone
川大反击特务造谣陷害进步教授事件,1,2,2,0,,,strict_backbone
皖中解放区,0,3,0,1,,,context_only
六合红娘店战斗,0,1,0,0,,,context_only
云南人民革命武装,0,2,2,0,,,strict_backbone
湘赣根据地反‘围剿’战斗,0,2,2,0,,,strict_backbone
反动派招抚与镇压,0,4,1,0,,,strict_backbone
顶洞民兵,0,6,0,0,,,context_only
与党部斗争与被捕受审,0,2,0,0,,,context_only
安城桥战役,0,2,0,0,,,context_only
石牌战斗,0,6,0,0,,,context_only
二野进军大西南,0,3,0,0,,,context_only
一二·九抗日救亡运动,0,3,0,0,,,context_only
达维会师,0,5,3,0,,,strict_backbone
打土匪,0,2,0,0,,,context_only
从江县公安总队,0,6,1,0,,,strict_backbone
解放大西北斗争,0,2,2,0,,,strict_backbone
旧职员训练班,0,6,4,0,,,strict_backbone
经济斗争策略,0,3,0,0,,,context_only
战略退却与阵地收紧,0,3,0,0,,,context_only
贺电,0,12,0,0,,,context_only
瓢儿井战斗,3,12,11,0,,,strict_backbone
宣传组织与教唱革命歌曲,1,3,1,0,,,strict_backbone
合川暴动失败,0,2,0,0,,,context_only
抗日烽火,2,6,2,0,,,strict_backbone
暴动中党的集体领导与纪律要求,0,3,0,0,,,context_only
三查三整,0,2,1,0,,,strict_backbone
平田战斗,0,1,0,0,,,context_only
开辟游击基地、反“清乡”反“蚕食”,0,5,1,0,,,strict_backbone
剿匪突围战,0,2,2,0,,,strict_backbone
宜威解放前夕学生运动,0,5,2,1,,,strict_backbone
县大队战斗连队,0,3,0,0,,,context_only
通海口战斗,0,2,2,0,,,strict_backbone
收取排税,0,3,1,1,,,strict_backbone
禄罗游击大队,0,9,0,1,,,context_only
昭通战役,0,6,5,0,,,strict_backbone
常州各界人民代表会议,0,5,2,0,,,strict_backbone
革命工作,0,20,4,0,,,strict_backbone
川黔湘鄂民众自卫军,0,1,0,0,,,context_only
青年工作与建团,0,1,1,0,,,strict_backbone
淮阴县县委成立,0,2,2,0,,,strict_backbone
捧乍暴动,0,2,1,0,,,strict_backbone
我谈判代表,0,2,0,0,,,context_only
参军参战参政运动,1,1,1,0,,,strict_backbone
茶陵进逼行动,1,5,5,3,,,strict_backbone
赣南武装斗争,0,5,2,0,,,strict_backbone
苏北战役,0,2,2,0,,,strict_backbone
包座战役回忆,0,1,0,0,,,context_only
仁风乡起义,0,1,1,0,,,strict_backbone
迪传会,0,4,1,0,,,strict_backbone
泰和农民反征兵、征劳役、征税斗争,0,1,0,0,,,context_only
刘老庄连,2,4,4,0,,,strict_backbone
烈士追悼会,0,1,1,0,,,strict_backbone
红四方面军组建,0,2,2,0,,,strict_backbone
美国旧金山会议,0,2,2,0,,,strict_backbone
红军医院转移行动,0,3,0,0,,,context_only
集体自首,0,3,0,0,,,context_only
黎平解放,0,3,0,0,,,context_only
北撤与留守,1,5,3,0,,,strict_backbone
霍山城攻克,0,2,2,0,,,strict_backbone
潼、蓬联防队反革命武装应变会议,0,1,0,0,,,context_only
邻水县警察中队,0,3,0,0,,,context_only
安源矿工暴动,4,7,4,1,,,strict_backbone
反恶霸斗争,0,1,0,0,,,context_only
滇南解放行动,0,4,0,0,,,context_only
大庸战役,0,2,1,0,,,strict_backbone
江宁县常备队,0,3,0,0,,,context_only
第三次上饶县工人代表大会,0,1,0,0,,,context_only
《赣南人民反国民党斗争》,0,1,0,0,,,context_only
许克祥叛变,0,8,3,0,,,strict_backbone
草船借箭之计,0,2,0,0,,,context_only
保安大队起义,0,3,1,0,,,strict_backbone
马列主义传播,0,18,2,0,,,strict_backbone
泸西风午村战斗,0,1,0,0,,,context_only
找党行动,0,2,2,0,,,strict_backbone
襄西大革命失败与锄奸斗争,0,2,0,0,,,context_only
酃县进攻行动,0,3,3,0,,,strict_backbone
抗日义勇军组建,0,1,0,0,,,context_only
锄奸保安政策,0,6,2,1,,,strict_backbone
川滇黔宣传计划,0,3,0,0,,,context_only
罗南起义,2,2,2,0,,,strict_backbone
弋阳程家桥起义,1,2,2,0,,,strict_backbone
湘鄂西中央分局第四次党代会,0,2,2,0,,,strict_backbone
句容城战役,0,2,2,0,,,strict_backbone
南京追悼会,0,3,0,0,,,context_only
民主建政/秋征减免,0,0,0,0,,,isolated
贺国光部,0,2,0,0,,,context_only
反霸斗争试点,0,2,1,0,,,strict_backbone
伏击战部署,0,4,4,0,,,strict_backbone
睢宁城解放,0,3,1,0,,,strict_backbone
五·二〇周会晚会,0,3,0,0,,,context_only
西亭战斗,0,3,1,0,,,strict_backbone
湘赣工作座谈会,0,3,1,2,,,strict_backbone
中共六大筹备会议,0,3,0,0,,,context_only
灌县人民政府成立,0,8,0,0,,,context_only
白马头大队,0,2,0,0,,,context_only
五反斗争指示,0,1,0,0,,,context_only
收税锄奸,0,1,1,0,,,strict_backbone
弥勒西山武装起义,0,2,2,0,,,strict_backbone
南京海军驻南京支社,0,3,0,0,,,context_only
长江水系考察,0,2,2,0,,,strict_backbone
罗山农民起义,0,7,3,0,,,strict_backbone
四、六暴乱事件,0,3,0,0,,,context_only
饿教斗争,0,2,2,1,1948-01-01,1948-12-31,strict_backbone
土改经验总结/团结中农中立富农,0,1,1,0,,,strict_backbone
渡江突击,0,3,0,0,,,context_only
八一起义,1,31,13,0,,,strict_backbone
抗日文艺宣传活动,0,3,0,0,,,context_only
学运,1,8,2,0,,,strict_backbone
红二十五军经理处,0,3,0,0,,,context_only
华野六纵,0,7,3,0,,,strict_backbone
召开会议,0,2,0,0,,,context_only
支援粮草/免费治病/送别,0,4,1,0,,,strict_backbone
起义内幕,0,1,1,0,,,strict_backbone
蒙自-昆明审讯事件,0,5,3,1,,,strict_backbone
小箐暴动,0,1,0,0,,,context_only
綦江县团干校,0,5,0,0,,,context_only
大方解放,0,3,1,0,,,strict_backbone
长海解放,1,6,1,0,,,strict_backbone
半塔保卫战,3,8,5,0,,,strict_backbone
击退土匪,0,2,2,0,,,strict_backbone
青抗会,0,27,0,0,,,context_only
借枪,2,2,2,0,,,strict_backbone
反动派统治,0,3,0,0,,,context_only
扎西会师,0,3,0,0,,,context_only
西乐坪战役,1,4,4,0,,,strict_backbone
八寨农民暴动,0,6,2,0,,,strict_backbone
昆保保卫战,0,3,1,1,,,strict_backbone
战略转移/政治动员,0,2,0,0,,,context_only
土地改革法,1,23,3,0,,,strict_backbone
秘密建党与征求红军运动,0,3,0,0,,,context_only
