历史名,起,止,行政层级,派生模式,状态
二区,,,site,renamed_to,needs_review
黉巷,,,site,former_name,auto_evidence
黄安县,1932,,site,renamed_to,auto_evidence
中天区,1950,,site,renamed_to,needs_review
一区,,,site,renamed_to,needs_review
萧县,,,county,same_period_parent,auto_evidence
云乡,1903,,site,renamed_to,auto_evidence
东阳镇,,,site,same_period_parent,auto_evidence
邑和乡,,,site,former_name,auto_evidence
如东县潮桥镇,,,site,same_period_parent,auto_evidence
打鼓新场,1935,,admin_region,former_name,auto_evidence
泰州,,,site,renamed_to,needs_review
北新区,1952,,site,renamed_to,needs_review
大兴,,,site,former_name,auto_evidence
萧县,,,county,same_period_parent,auto_evidence
立煌,1939,,site,former_name,auto_evidence
三区,,,site,renamed_to,needs_review
专区,,,site,renamed_to,needs_review
洪泽湖管理局,,,site,renamed_to,needs_review
洪山区,,,site,same_period_parent,auto_evidence
六区,,,site,renamed_to,needs_review
大定,,,admin_region,former_name,auto_evidence
苏区,,,site,renamed_to,needs_review
半城直属区,,,site,renamed_to,auto_evidence
北平,,,admin_region,renamed_to,auto_evidence
北新区,,,site,renamed_to,needs_review
专署,,,site,renamed_to,needs_review
专区,1970,,site,renamed_to,needs_review
立煌,1939,,admin_region,former_name,auto_evidence
北平,,,site,renamed_to,auto_evidence
东兴区,1950,,site,renamed_to,needs_review
金家寨,,,site,renamed_to,auto_evidence
萧县,,,site,same_period_parent,auto_evidence
以角营盘,,,site,same_period_parent,auto_evidence
大定,1949,,admin_region,former_name,auto_evidence
利西区,,,site,renamed_to,needs_review
石厢子,,,site,former_name,auto_evidence
大兴,,,admin_region,former_name,auto_evidence
隆昌,,,admin_region,former_name,needs_review
元谋县,1955,,site,renamed_to,needs_review
打鼓新场,1935,,admin_region,former_name,auto_evidence
大定,,,admin_region,former_name,auto_evidence
周覃,,,site,same_period_parent,auto_evidence
水城县,,,site,same_period_parent,auto_evidence
大定,,,admin_region,former_name,auto_evidence
打鼓新场,1935,,admin_region,former_name,auto_evidence
六区,1953,,site,renamed_to,needs_review
赣东北苏区,,,site,renamed_to,needs_review
潭口铺,1927,,site,former_name,auto_evidence
打鼓新场,1935,,admin_region,former_name,auto_evidence
大定,1949,,admin_region,former_name,auto_evidence
大定,,,admin_region,former_name,auto_evidence
赣西南苏区,,,site,renamed_to,auto_evidence
天高县,1948,,site,renamed_to,needs_review
萧县,,,county,same_period_parent,auto_evidence
五塘区,,,site,renamed_to,needs_review
大定,1949,,admin_region,former_name,auto_evidence
大定,1949,,admin_region,former_name,auto_evidence
云永区,,,site,renamed_to,needs_review
东山区,1951,,site,renamed_to,needs_review
清江县,,,site,former_name,auto_evidence
黄安,,,admin_region,former_name,auto_evidence
二区,,,site,renamed_to,needs_review
大兴,,,admin_region,former_name,auto_evidence
五塘区,1952,,site,renamed_to,needs_review
四区,,,site,renamed_to,needs_review
吉安县,,,site,renamed_to,auto_evidence
七区,,,site,renamed_to,needs_review
打鼓新场,1935,,site,former_name,auto_evidence
大地方,,,site,former_name,auto_evidence
中方,,,site,same_period_parent,auto_evidence
城区,,,site,renamed_to,auto_evidence
