源事件,关系,目标事件,强度,因果状态
粤汉铁路罢工,influenced,株萍铁路和安源路矿工人罢工,explicit_context,not_inferred
八七会议,influenced,秋收起义,explicit_context,not_inferred
二七会议,influenced,江西土地革命,explicit_context,not_inferred
减租减息政策,influenced,民兵武装组织,explicit_context,not_inferred
洪家铺之战,part_of,解放四川,explicit_structure,not_inferred
强渡长江天险,influenced,镇压反革命运动和清匪反霸斗争,explicit_context,not_inferred
农运工作,influenced,二五减租,explicit_context,not_inferred
九华分粮斗争,influenced,皖南分粮斗争高潮,explicit_context,not_inferred
分粮斗争,influenced,土地革命,explicit_context,not_inferred
'读书会',influenced,工人运动,explicit_context,not_inferred
九江会议,part_of,南昌起义,explicit_structure,not_inferred
修水农民暴动,part_of,秋收起义,explicit_structure,not_inferred
重庆‘三·三一惨案’,influenced,綦江县国民党改组,explicit_context,not_inferred
遵义会议,influenced,抗日战争,explicit_context,not_inferred
农民运动,part_of,工农革命运动,explicit_structure,not_inferred
渡江战役,part_of,宜昌沙市解放,explicit_structure,not_inferred
中国无线电公司工人斗争,part_of,川东职工运动,explicit_structure,not_inferred
渡江战役,influenced,南京解放,explicit_context,not_inferred
八七会议,influenced,秋收暴动计划,explicit_context,not_inferred
仁和集会议,influenced,抗日反顽斗争,explicit_context,not_inferred
中国无线电公司工人斗争,part_of,川东职工运动,explicit_structure,not_inferred
皖南事变,influenced,抗日救亡运动,explicit_context,not_inferred
湖北省党部第四次代表大会,influenced,武昌阅马厂反英大会,explicit_context,not_inferred
淮海战役,influenced,铜山解放,explicit_context,not_inferred
湘江战役,part_of,长征,explicit_structure,not_inferred
武汉工人总同盟罢工,influenced,南昌起义,explicit_context,not_inferred
一·二八事变,influenced,抗日民族统一战线,explicit_context,not_inferred
第一次各族各界代表大会,influenced,征粮剿匪运动,explicit_context,not_inferred
南昌起义,part_of,八一暴动,explicit_structure,not_inferred
弋横起义,influenced,八七会议,explicit_context,not_inferred
落入敌网,influenced,秘密杀害,explicit_context,not_inferred
