原时间角色,新时间角色,原空间角色,新空间角色,原因,条数
unknown,event_occurrence,event_location,event_location,final_entity_type_scope_closure,52
context_time,context_time,event_location,context_location,final_entity_type_scope_closure,47
unknown,unknown,event_location,context_location,final_entity_type_scope_closure,41
biographical,context_time,context_location,context_location,final_entity_type_scope_closure,20
event_occurrence,relation_validity,event_location,relation_location,final_entity_type_scope_closure,16
unknown,event_occurrence,unknown,unknown,final_entity_type_scope_closure,8
biographical,context_time,unknown,unknown,final_entity_type_scope_closure,5
unknown,unknown,context_location,unknown,final_entity_type_scope_closure,4
unknown,unknown,event_location,relation_location,final_entity_type_scope_closure,4
biographical,biographical,event_location,context_location,final_entity_type_scope_closure,2
event_occurrence,relation_validity,unknown,unknown,final_entity_type_scope_closure,2
relation_validity,relation_validity,relation_location,unknown,final_entity_type_scope_closure,2
unknown,unknown,relation_location,unknown,final_entity_type_scope_closure,2
context_time,context_time,event_location,relation_location,final_entity_type_scope_closure,1
source_document_time,relation_validity,relation_location,relation_location,final_entity_type_scope_closure,1
unknown,unknown,biographical_location,relation_location,final_entity_type_scope_closure,1
