历史阶段,阶段序,省份,文化形态,观测层,状态数
全民族抗日战争,3,上海市,CreativeNarrative,relation_context,1
全民族抗日战争,3,上海市,DocumentaryCulture,relation_context,2
全民族抗日战争,3,上海市,DocumentaryCulture,trusted_event_spacetime,1
全民族抗日战争,3,上海市,HistoricalPractice,asserted_event_spacetime,4
全民族抗日战争,3,上海市,HistoricalPractice,relation_context,45
全民族抗日战争,3,上海市,HistoricalPractice,trusted_event_spacetime,2
全民族抗日战争,3,上海市,InstitutionalPractice,asserted_event_spacetime,6
全民族抗日战争,3,上海市,InstitutionalPractice,relation_context,43
全民族抗日战争,3,上海市,InstitutionalPractice,trusted_event_spacetime,5
全民族抗日战争,3,上海市,MaterialCulture,relation_context,1
全民族抗日战争,3,上海市,MemoryTransmission,relation_context,1
全民族抗日战争,3,上海市,SpiritValue,relation_context,3
全民族抗日战争,3,上海市,SpiritValue,trusted_event_spacetime,3
全民族抗日战争,3,云南省,CreativeNarrative,relation_context,3
全民族抗日战争,3,云南省,DocumentaryCulture,relation_context,2
全民族抗日战争,3,云南省,HistoricalPractice,asserted_event_spacetime,13
全民族抗日战争,3,云南省,HistoricalPractice,relation_context,142
全民族抗日战争,3,云南省,HistoricalPractice,trusted_event_spacetime,2
全民族抗日战争,3,云南省,InstitutionalPractice,asserted_event_spacetime,24
全民族抗日战争,3,云南省,InstitutionalPractice,relation_context,73
全民族抗日战争,3,云南省,InstitutionalPractice,trusted_event_spacetime,9
全民族抗日战争,3,云南省,MaterialCulture,relation_context,1
全民族抗日战争,3,云南省,MemoryTransmission,asserted_event_spacetime,1
全民族抗日战争,3,云南省,MemoryTransmission,relation_context,1
全民族抗日战争,3,云南省,SpiritValue,asserted_event_spacetime,1
全民族抗日战争,3,云南省,SpiritValue,relation_context,3
全民族抗日战争,3,四川省,DocumentaryCulture,relation_context,2
全民族抗日战争,3,四川省,HistoricalPractice,asserted_event_spacetime,6
全民族抗日战争,3,四川省,HistoricalPractice,relation_context,95
全民族抗日战争,3,四川省,HistoricalPractice,trusted_event_spacetime,1
全民族抗日战争,3,四川省,InstitutionalPractice,asserted_event_spacetime,25
全民族抗日战争,3,四川省,InstitutionalPractice,relation_context,61
全民族抗日战争,3,四川省,InstitutionalPractice,trusted_event_spacetime,1
全民族抗日战争,3,四川省,MaterialCulture,relation_context,1
全民族抗日战争,3,四川省,MemoryTransmission,asserted_event_spacetime,1
全民族抗日战争,3,四川省,MemoryTransmission,relation_context,1
全民族抗日战争,3,四川省,SpiritValue,asserted_event_spacetime,1
全民族抗日战争,3,四川省,SpiritValue,relation_context,6
全民族抗日战争,3,安徽省,CreativeNarrative,relation_context,2
全民族抗日战争,3,安徽省,DocumentaryCulture,relation_context,1
全民族抗日战争,3,安徽省,DocumentaryCulture,trusted_event_spacetime,2
全民族抗日战争,3,安徽省,HistoricalPractice,asserted_event_spacetime,19
全民族抗日战争,3,安徽省,HistoricalPractice,relation_context,224
全民族抗日战争,3,安徽省,HistoricalPractice,trusted_event_spacetime,8
全民族抗日战争,3,安徽省,InstitutionalPractice,asserted_event_spacetime,11
全民族抗日战争,3,安徽省,InstitutionalPractice,relation_context,67
全民族抗日战争,3,安徽省,InstitutionalPractice,trusted_event_spacetime,35
全民族抗日战争,3,安徽省,MaterialCulture,relation_context,2
全民族抗日战争,3,安徽省,MemoryTransmission,relation_context,3
全民族抗日战争,3,安徽省,SpiritValue,asserted_event_spacetime,1
全民族抗日战争,3,安徽省,SpiritValue,relation_context,2
全民族抗日战争,3,安徽省,SpiritValue,trusted_event_spacetime,2
全民族抗日战争,3,江苏省,CreativeNarrative,relation_context,3
全民族抗日战争,3,江苏省,DocumentaryCulture,relation_context,2
全民族抗日战争,3,江苏省,DocumentaryCulture,trusted_event_spacetime,1
全民族抗日战争,3,江苏省,HistoricalPractice,asserted_event_spacetime,31
全民族抗日战争,3,江苏省,HistoricalPractice,relation_context,312
全民族抗日战争,3,江苏省,HistoricalPractice,trusted_event_spacetime,9
全民族抗日战争,3,江苏省,InstitutionalPractice,asserted_event_spacetime,17
全民族抗日战争,3,江苏省,InstitutionalPractice,relation_context,59
全民族抗日战争,3,江苏省,InstitutionalPractice,trusted_event_spacetime,35
全民族抗日战争,3,江苏省,MaterialCulture,relation_context,1
全民族抗日战争,3,江苏省,MaterialCulture,trusted_event_spacetime,1
全民族抗日战争,3,江苏省,MemoryTransmission,relation_context,2
全民族抗日战争,3,江苏省,MemoryTransmission,trusted_event_spacetime,1
全民族抗日战争,3,江苏省,SpiritValue,asserted_event_spacetime,1
全民族抗日战争,3,江苏省,SpiritValue,relation_context,5
全民族抗日战争,3,江西省,DocumentaryCulture,relation_context,1
全民族抗日战争,3,江西省,DocumentaryCulture,trusted_event_spacetime,2
全民族抗日战争,3,江西省,HistoricalPractice,asserted_event_spacetime,7
全民族抗日战争,3,江西省,HistoricalPractice,relation_context,50
全民族抗日战争,3,江西省,HistoricalPractice,trusted_event_spacetime,3
全民族抗日战争,3,江西省,InstitutionalPractice,asserted_event_spacetime,23
全民族抗日战争,3,江西省,InstitutionalPractice,relation_context,28
全民族抗日战争,3,江西省,InstitutionalPractice,trusted_event_spacetime,16
全民族抗日战争,3,江西省,MaterialCulture,relation_context,1
全民族抗日战争,3,江西省,MemoryTransmission,relation_context,2
全民族抗日战争,3,江西省,SpiritValue,asserted_event_spacetime,1
全民族抗日战争,3,江西省,SpiritValue,relation_context,2
全民族抗日战争,3,江西省,SpiritValue,trusted_event_spacetime,2
全民族抗日战争,3,浙江省,HistoricalPractice,asserted_event_spacetime,1
全民族抗日战争,3,浙江省,HistoricalPractice,relation_context,15
全民族抗日战争,3,浙江省,InstitutionalPractice,relation_context,1
全民族抗日战争,3,湖北省,CreativeNarrative,relation_context,3
全民族抗日战争,3,湖北省,DocumentaryCulture,relation_context,1
全民族抗日战争,3,湖北省,DocumentaryCulture,trusted_event_spacetime,2
全民族抗日战争,3,湖北省,HistoricalPractice,asserted_event_spacetime,8
全民族抗日战争,3,湖北省,HistoricalPractice,relation_context,89
全民族抗日战争,3,湖北省,HistoricalPractice,trusted_event_spacetime,4
全民族抗日战争,3,湖北省,InstitutionalPractice,asserted_event_spacetime,19
