conflict_id,entity_id,resolution_type,scope_policy,global_merge_target,rationale_json,method_version,closed_at
V2CONFLICT-001ae778f501a6cb236bdc69,IENT-9eea89c52830b1ab005a9b06,context_scoped_reference,keep_each_assertion_reference_scoped;never_global_merge_by_generic_label,,"{""canonical_name"": ""地委"", ""reason"": ""generic_label"", ""required_context"": [""time"", ""place"", ""affiliation"", ""relation_neighborhood""]}",stkg-v2-unresolved-semantic-closure-1,2026-07-15T06:33:12
V2CONFLICT-0027b79d81a3f3079a7a649c,IENT-bf5e33a062efcc4d001e5d88,context_scoped_reference,keep_each_assertion_reference_scoped;never_global_merge_by_generic_label,,"{""canonical_name"": ""五旅"", ""reason"": ""incomplete_military_designation"", ""required_context"": [""time"", ""place"", ""affiliation"", ""relation_neighborhood""]}",stkg-v2-unresolved-semantic-closure-1,2026-07-15T06:33:12
V2CONFLICT-010a7fd9b322b10443abda65,IENT-7eca60223e381bb5b2bd884f,context_scoped_reference,keep_each_assertion_reference_scoped;never_global_merge_by_generic_label,,"{""canonical_name"": ""二十五师"", ""reason"": ""incomplete_military_designation"", ""required_context"": [""time"", ""place"", ""affiliation"", ""relation_neighborhood""]}",stkg-v2-unresolved-semantic-closure-1,2026-07-15T06:33:12
V2CONFLICT-0138803656e063788fb44817,IENTREPAIR-3a373927e455106a56ceab07,context_scoped_reference,keep_each_assertion_reference_scoped;never_global_merge_by_generic_label,,"{""canonical_name"": ""五一四团"", ""reason"": ""incomplete_military_designation"", ""required_context"": [""time"", ""place"", ""affiliation"", ""relation_neighborhood""]}",stkg-v2-unresolved-semantic-closure-1,2026-07-15T06:33:12
V2CONFLICT-013d5784f660f1d2261c1510,IENT-0b9c17c09bd42d15ef674e8c,context_scoped_reference,keep_each_assertion_reference_scoped;never_global_merge_by_generic_label,,"{""canonical_name"": ""三七九团"", ""reason"": ""incomplete_military_designation"", ""required_context"": [""time"", ""place"", ""affiliation"", ""relation_neighborhood""]}",stkg-v2-unresolved-semantic-closure-1,2026-07-15T06:33:12
V2CONFLICT-017284e929c251181f2859bd,IENT-8a180f3dc9388dc0ebf6f721,context_scoped_reference,keep_each_assertion_reference_scoped;never_global_merge_by_generic_label,,"{""canonical_name"": ""二三九师"", ""reason"": ""incomplete_military_designation"", ""required_context"": [""time"", ""place"", ""affiliation"", ""relation_neighborhood""]}",stkg-v2-unresolved-semantic-closure-1,2026-07-15T06:33:12
V2CONFLICT-017293fc4ed709ea0bc0aed1,IENT-b7c1fac09db5cb456d7f92ef,context_scoped_reference,keep_each_assertion_reference_scoped;never_global_merge_by_generic_label,,"{""canonical_name"": ""红二六军"", ""reason"": ""incomplete_military_designation"", ""required_context"": [""time"", ""place"", ""affiliation"", ""relation_neighborhood""]}",stkg-v2-unresolved-semantic-closure-1,2026-07-15T06:33:12
V2CONFLICT-027be13d8795d1d2b68dab0f,IENT-67b62290e51b5a2668a8ac23,context_scoped_reference,keep_each_assertion_reference_scoped;never_global_merge_by_generic_label,,"{""canonical_name"": ""红二十六师"", ""reason"": ""incomplete_military_designation"", ""required_context"": [""time"", ""place"", ""affiliation"", ""relation_neighborhood""]}",stkg-v2-unresolved-semantic-closure-1,2026-07-15T06:33:12
V2CONFLICT-032e25419363244bce58d656,IENTREPAIR-f6cf14c714b4dae5f2c68097,context_scoped_reference,keep_each_assertion_reference_scoped;never_global_merge_by_generic_label,,"{""canonical_name"": ""解放军51师"", ""reason"": ""incomplete_military_designation"", ""required_context"": [""time"", ""place"", ""affiliation"", ""relation_neighborhood""]}",stkg-v2-unresolved-semantic-closure-1,2026-07-15T06:33:12
V2CONFLICT-0358d775d86c0417cb8f36d5,IENT-6e045b54d678425488b184b2,context_scoped_reference,keep_each_assertion_reference_scoped;never_global_merge_by_generic_label,,"{""canonical_name"": ""五连"", ""reason"": ""incomplete_military_designation"", ""required_context"": [""time"", ""place"", ""affiliation"", ""relation_neighborhood""]}",stkg-v2-unresolved-semantic-closure-1,2026-07-15T06:33:12
