单元类型,维度,标注函数,票数
assertion,predicate_family,predicate_route,424150
entity,entity_type,source_type_prior,154150
assertion,space_role,raw_or_unscoped_place_excluded_from_event_location,70659
entity,entity_type,strong_lexical_hint,51732
assertion,time_role,raw_or_unscoped_time_excluded_from_event_time,50928
entity,entity_type,controlled_schema_votes,33339
assertion,space_role,controlled_relation_location,21188
assertion,time_role,controlled_relation_validity,20802
assertion,space_role,raw_explicit_event_location,5685
assertion,time_role,raw_explicit_biographical_time,4626
assertion,space_role,controlled_event_location,1908
assertion,time_role,controlled_event_occurrence,1395
assertion,space_role,raw_explicit_biographical_location,255
assertion,space_role,controlled_biographical_location,87
assertion,time_role,controlled_biographical,67
assertion,time_role,controlled_creation_or_publication,42
assertion,time_role,controlled_source_document,36
assertion,time_role,controlled_commemoration_or_reception,17
assertion,time_role,raw_explicit_event_time,17
assertion,space_role,controlled_memory_context_location,11
assertion,space_role,controlled_creation_location,2
assertion,space_role,raw_explicit_memory_location,1
