主语类型,历史阶段,断言数
AdministrativeRegion,全民族抗日战争,315
AdministrativeRegion,土地革命战争,292
AdministrativeRegion,建党与大革命,162
AdministrativeRegion,建党前传播与孕育,14
AdministrativeRegion,改革开放和社会主义现代化建设,7
AdministrativeRegion,社会主义革命和建设,214
AdministrativeRegion,解放战争,401
Artifact,全民族抗日战争,142
Artifact,土地革命战争,240
Artifact,建党与大革命,26
Artifact,建党前传播与孕育,7
Artifact,改革开放和社会主义现代化建设,24
Artifact,社会主义革命和建设,67
Artifact,解放战争,96
Concept,全民族抗日战争,237
Concept,土地革命战争,362
Concept,建党与大革命,59
Concept,建党前传播与孕育,9
Concept,改革开放和社会主义现代化建设,24
Concept,社会主义革命和建设,78
Concept,解放战争,175
CreativeWork,全民族抗日战争,2
CreativeWork,土地革命战争,5
CreativeWork,建党与大革命,2
CreativeWork,社会主义革命和建设,2
CreativeWork,解放战争,1
CulturalSite,全民族抗日战争,11
CulturalSite,土地革命战争,41
CulturalSite,建党与大革命,1
CulturalSite,改革开放和社会主义现代化建设,32
CulturalSite,社会主义革命和建设,33
CulturalSite,解放战争,3
Document,全民族抗日战争,130
Document,土地革命战争,92
Document,建党与大革命,41
Document,建党前传播与孕育,13
Document,改革开放和社会主义现代化建设,4
Document,社会主义革命和建设,29
Document,解放战争,112
Event,全民族抗日战争,3668
Event,土地革命战争,4639
Event,建党与大革命,1495
Event,建党前传播与孕育,261
Event,改革开放和社会主义现代化建设,78
Event,社会主义革命和建设,1532
Event,解放战争,3562
Institution,全民族抗日战争,353
Institution,土地革命战争,126
Institution,建党与大革命,104
Institution,建党前传播与孕育,18
Institution,改革开放和社会主义现代化建设,20
Institution,社会主义革命和建设,91
Institution,解放战争,225
Organization,全民族抗日战争,5787
Organization,土地革命战争,9158
Organization,建党与大革命,1316
Organization,建党前传播与孕育,168
Organization,改革开放和社会主义现代化建设,82
Organization,社会主义革命和建设,1378
Organization,解放战争,4575
Person,全民族抗日战争,11774
Person,土地革命战争,15799
Person,建党与大革命,5754
Person,建党前传播与孕育,1023
Person,改革开放和社会主义现代化建设,447
Person,社会主义革命和建设,3080
Person,解放战争,8862
Place,全民族抗日战争,1443
Place,土地革命战争,1925
Place,建党与大革命,305
Place,建党前传播与孕育,64
Place,改革开放和社会主义现代化建设,53
Place,社会主义革命和建设,456
Place,解放战争,1121
Position,全民族抗日战争,9
Position,土地革命战争,10
Position,建党与大革命,2
Position,社会主义革命和建设,4
Position,解放战争,7
SocialGroup,全民族抗日战争,34
SocialGroup,土地革命战争,113
SocialGroup,建党与大革命,10
SocialGroup,建党前传播与孕育,7
SocialGroup,社会主义革命和建设,4
SocialGroup,解放战争,25
Spirit,中国特色社会主义新时代,14
Spirit,全民族抗日战争,89
Spirit,土地革命战争,149
Spirit,建党与大革命,78
Spirit,建党前传播与孕育,50
Spirit,改革开放和社会主义现代化建设,48
Spirit,社会主义革命和建设,107
Spirit,解放战争,87
TimePeriod,全民族抗日战争,63
TimePeriod,土地革命战争,55
TimePeriod,建党与大革命,24
TimePeriod,建党前传播与孕育,2
TimePeriod,改革开放和社会主义现代化建设,1
TimePeriod,社会主义革命和建设,40
TimePeriod,解放战争,79
