人物,年,断言数
毛泽东,1927,400
周恩来,1945,292
贺龙,1927,284
陈毅,1937,274
罗炳辉,1927,221
刘伯承,1927,192
朱德,1945,181
朱德,1927,174
粟裕,1927,158
彭德怀,1927,148
董必武,1937,145
夏曦,1927,137
方志敏,1927,118
彭雪枫,1937,99
邵式平,1927,94
张国焘,1927,93
周恩来,1927,87
叶挺,1937,83
瞿秋白,1935,83
李富春,1927,70
徐向前,1927,68
陈伯钧,1927,65
旷继勋,1927,62
毛泽东,1937,60
周恩来,1937,59
毛泽东,1924,58
肖克,1927,58
胡慎己,1927,58
张云逸,1927,57
张经辰,1925,54
王树声,1927,53
任弼时,1927,51
沈钧儒,1937,51
徐策,1927,50
张爱萍,1927,49
周建屏,1927,48
毛泽东,1945,48
项英,1937,45
关向应,1927,43
毛泽东,1949,43
邓演达,1927,42
邹玉琳,1945,41
王敏,1938,40
刘少奇,1937,38
蒋介石,1927,38
李赐凡,1927,37
龙云,1927,37
陈正人,1927,36
毛泽东,1935,35
熊厚发,1914,35
黄华清,1929,35
张闻天,1927,34
曾中生,1927,34
段德昌,1927,34
毛泽东,1928,34
陈洪时,1927,32
周逸群,1927,31
孙仲德,1927,31
柳直荀,1927,31
毛泽东,1930,31
李福槐,1927,30
宋庆龄,1925,29
曾宪辉,1945,29
邓小平,1949,29
阮俊臣,1927,29
陈毅,1927,29
陶勇,1937,29
任治荣,1945,28
邓小平,1945,27
徐楚光,1947,26
邓中夏,1927,26
廖乾五,1930,25
毛泽东,1922,25
程克绳,1924,25
苏维埃政权,1927,25
蔡奎,1921,25
刘伯承,1949,24
张大成,1949,24
徐洪,1927,24
许继慎,1927,24
陈毅安,1927,24
余泽鸿,1927,23
卢汉,1949,23
周素园,1911,23
徐全直,1923,23
李步新,1927,23
贺龙,1949,23
张忠廉,1944,22
李光华,1927,22
杨闇公,1924,22
毛泽东,1921,22
汪长青,1924,22
王丰庆,1927,22
王效亭,1927,22
王稼祥,1927,22
董必武,1927,22
谢维俊,1927,22
陈海松,1927,22
黄克诚,1945,22
何长工,1927,21
宋乔生,1925,21
朱瑞,1927,21
李立三,1927,21
王光泽,1927,21
郭仲纯,1924,21
郭纲琳,1937,21
陈赓,1927,21
王家烈,1927,20
王良,1927,20
陈伯钧,1934,20
黄静源,1911,20
华岗,1945,19
叶挺,1927,19
周士第,1927,19
干希宇,1930,19
张仁,1937,19
张太雷,1927,19
毛泽东,1923,19
沈剑华,1927,19
王震,1927,19
钟世民,1930,19
陈云,1927,19
陈毅,1940,19
高敬亭,1927,19
朱德,1935,18
滕代远,1937,18
罗亦农,1927,18
蓝蒂裕,1949,18
陈荫林,1927,18
龙子仁,1925,18
匡沛兴,1945,17
周立波,1937,17
恽代英,1927,17
李步云,1925,17
梁华,1937,17
毕昌杰,1924,17
程潜,1948,17
胡波,1924,17
贺龙,1945,17
赵自选,1927,17
郑希侠,1943,17
陈光鑫,1924,17
马秀英,1948,17
何祝嵩,1925,16
刘昌炎,1911,16
刘毓标,1927,16
周恩来,1946,16
尹如圭,1927,16
方志敏,1924,16
方志敏,1930,16
方维夏,1927,16
李蔚如,1928,16
林彪,1927,16
王以中,1939,16
聂荣臻,1927,16
袁文才,1927,16
邓华,1927,16
邓小平,1927,16
邓恩铭,1911,16
陈赓,1949,16
黄秋云,1935,16
黄道,1927,16
乔光鉴,1949,15
何彬,1941,15
刘型,1927,15
刘少奇,1927,15
叶剑英,1927,15
周维炯,1927,15
廖中堂,1927,15
张舫,1930,15
彭祖年,1945,15
恽代英,1924,15
朱家璧,1945,15
李维汉,1927,15
杨兴楷,1943,15
杨闇公,1927,15
王振邦,1927,15
肖芳,1927,15
萧源,1949,15
袁超俊,1937,15
谭震、林,1927,15
辛焕文,1923,15
邓乾元,1927,15
吴焕先,1927,14
廖林生,1927,14
张亚仙,1937,14
张国焘,1935,14
朱德,1928,14
林青,1935,14
毛泽东,1911,14
王公杰,1927,14
瞿秋白,1927,14
罗世文,1927,14
肖芳,1924,14
萧云鹄,1932,14
许世友,1927,14
贺龙,1934,14
邓子恢,1937,14
陈毅乔,1937,14
黄火星,1937,14
黄道,1937,14
乔光鉴,1937,13
冯达飞,1937,13
刘湘,1927,13
刘远生,1927,13
卢冬生,1927,13
唐固,1949,13
唐生智,1924,13
张伦,1938,13
方志敏,1928,13
曹达兴,1927,13
李明扬,1937,13
李麟彩,1937,13
杨林,1921,13
杨闇公,1925,13
杨闇公,1926,13
毛泽东,1926,13
毛泽东,1934,13
田哥,1945,13
董必武,1924,13
董必武,1925,13
蓝运富,1937,13
许光达,1927,13
陈赓,1945,13
顾正红,1924,13
余志宏,1945,12
共军,1927,12
刘干臣,1936,12
刘英,1927,12
匡龙海,1927,12
周恩来,1939,12
尹锡荣,1940,12
席大明,1927,12
张震,1932,12
彭新民,1927,12
徐特立,1927,12
朱少连,1911,12
朱良才,1927,12
李厚棠,1945,12
李干之,1927,12
李鸣珂,1927,12
杨勇,1945,12
毛泽东,1933,12
毛科文,1927,12
汤曙红,1939,12
王平章,1927,12
罗世文,1940,12
聂耳,1937,12
肖楚女,1925,12
苏兆征,1927,12
贺子珍,1927,12
贺龙,1928,12
赵启民,1927,12
邹文谟,1950,12
郭天民,1927,12
陈伦辉,1927,12
陈伯钧,1935,12
陈新奇,1945,12
陈毅,1938,12
万平,1927,11
亢为德,1937,11
何挺颖,1927,11
傅秋涛,1927,11
刘复初,1927,11
吴先民,1927,11
周均时,1945,11
周恩来,1941,11
张英,1927,11
彭公达,1927,11
彭湃,1927,11
方志敏,1935,11
旷继勋,1929,11
朱家璧,1949,11
朱桂林,1939,11
李烈三,1945,11
林伯渠,1927,11
林祥谦,1923,11
段玉林,1927,11
毛泽东,1925,11
毛泽东,1929,11
滕代远,1927,11
漆鲁鱼,1927,11
潘心元,1927,11
王仪,1937,11
王毅,1945,11
罗孟文,1927,11
罗荣桓,1927,11
蒋开榜,1934,11
袁尊一,1937,11
谭经元,1949,11
贺、昌,1927,11
贺龙,1935,11
邓止戈,1927,11
郭亮,1927,11
陈世昌,1927,11
陈代明,1927,11
陈伯钧,1949,11
陈伯魁,1928,11
陈晓寅,1945,11
陈洪涛,1945,11
项英,1927,11
高而公,1945,11
乔光鉴,1945,10
余贵民,1927,10
傅连暲,1927,10
刘少奇,1922,10
刘少奇,1940,10
刘建绪,1927,10
刘明晰,1938,10
叙述者,1929,10
叶新官,1927,10
叶苓,1945,10
周保中,1937,10
周恩来,1935,10
唐亮,1945,10
张漫萍,1947,10
张琴秋,1927,10
徐特立,1937,10
施洋,1923,10
曹孟君,1937,10
曾山,1927,10
朱家璧,1948,10
朱德,1926,10
朱毛,1927,10
朱泽淮,1938,10
李振亚,1927,10
李鸣珂,1928,10
杜涛,1928,10
杨奇勋,1926,10
杨尚昆,1927,10
沈泽民,1927,10
王维舟,1927,10
田伯萍,1937,10
瞿秋白,1925,10
肖楚女,1924,10
苏灿瑶,1946,10
范硕默,1938,10
茅丽瑛,1937,10
董振堂,1927,10
