主体ID,主体名,主体类型,谓词,客体ID,客体名,客体类型,省份,时间
IENT-452dc1461ab7ecbb1b13f2af,葛文英,Person,led,IENT-0c7deeb2d6cf4d32aac752ca,妇女解放运动,Event,,
IENT-eaf4c115db0ca68c7f7edb57,曹绍华,Person,organized,IENT-99704838c67bf42ebf40fa39,秋收大反攻,Event,,
IENT-5d8a0a82348db50727d53929,吴玉章,Person,participated_in,IENT-2ba561c76bf0da72755ffddc,顺泸起义,Event,,
IENT-3c20acc87e9eec3a16795212,姜金全,Person,stationed_at,IENT-f26d0efefe4dc64a94fd52f7,茅坝坪,Place,,
IENT-4164bd2151b3f221d71ab480,红军攻城部队,Organization,carried_out,IENT-ab4b2283c7ef279e4abe9454,政治攻势,Event,,
IENT-c6ea3bafec06ee5415ce68c9,郭澜波,Person,collaborated_with,IENT-22f212508f04e929440372f8,杨体元,Person,,
IENT-5651d7fa2ec14016908a1e9d,蒋介石,Person,dispatched,IENT-80983d466b13fadee0404889,四渡赤水,Event,,
IENT-c4fbcf7898321906cc3e5e5f,鄂北农民银行,Event,occurred_at,IENT-95ca8ab0f271ae7eac4068f1,房县,Place,,
IENT-c826cd0990463f94718438a1,苏区精神,Spirit,has_value_facet,ITOPIC-affc739b0434a33cd88b9889,艰苦奋斗,ValueFacet,,
IENT-c826cd0990463f94718438a1,苏区精神,Spirit,has_value_facet,ITOPIC-d665c77b390e817e013d9d62,求真务实,ValueFacet,,
IENT-5ba4ab2463c1f6ebf4101b3e,金瑞,Person,held_position_in,IENT-b54eea449d722f28f86232ca,红军川南游击支队,Organization,,
IENT-e1c92ef8e90b067e6ce3cd08,红二军团,Organization,fought_at,IENT-915111ad21bfd1db76ff4688,便水,Place,,
IENT-365cf2c2c41134706a1f648f,先遣队,Organization,traveled_to,IENT-4033fb4bdb8efb845c0ab90d,皖南,Place,,
IENT-209b0bb708baf9f8c30faaf2,霍邱县委,Organization,organized,IENT-239479b781c49a583a217799,文字暴动,Event,,
IENT-4971f2ec0938b91e723e2d25,王前民,Person,organized,IENT-6c1c86a6edcd5fc667e9c2ce,皖商联会,Organization,安徽省,
IENT-b01fa5757d2a5823b27d9ea0,邹玉琳,Person,active_at,IENT-c54d9b77ec4de6c90bbf798c,府河,Place,,
IENT-65b893560ff10ca10a94bf4a,周自达,Person,reported_to,IENT-ae783d2745354d58ae4396b1,卢昭鼎,Person,,
IENT-6069ff246bf9bae506ebfb39,黄公略,Person,studied_at,IENT-9cfbffdc2d748e16fc7d90e9,黄埔军校高级班,Institution,,
IENT-d9996487df177ecfdc38e49f,粤汉铁路罢工,Event,influenced,IENT-85313d3169654cf1fb366620,株萍铁路和安源路矿工人罢工,Event,,
IENT-3a6d672e9a2dfeb33fc381d4,保五团,Organization,fought_at,IENT-e72149bd302b61775469ca20,浮溪口阵地,Place,,
IENT-2ff71e100517a0ecd205e8e4,邓止戈,Person,organized,IENT-6b77c6f2d01bdc1f6ac5e33e,中华苏维埃人民共和国川滇黔省革命委员会,Organization,,
ITOPIC-f4d861be05e0b1766c6ae491,永新精神,Spirit,has_value_facet,ITOPIC-5e7e9a4805851aec0a692e0b,军民团结,ValueFacet,,
IENT-0fc418e59ff16ce279cd39a5,皖西北中心县,Place,located_in,IENT-57c551004e5f446de806cd2e,寿县,Place,,
IENT-8597bfa72e65c3af8913448d,熊亨瀚,Person,studied_at,IENT-bc56eb2da55ce5ee2eeb1fdf,神田法政学院,Institution,,
IENT-408aebdc68e200e05026c25d,刘璧华,Person,active_at,IENT-8d0fe590c9d1495f5e607014,罗平县,Place,,
IENT-b7599172ad775ec3b9910058,房铭仁,Person,opposed,IENT-4fd256002a41eef10b2f46a5,反‘清乡’斗争,Event,,
IENT-21ad684c3fa5e5773bc3d24d,陈赞贤,Person,guided,IENT-86b20df4e680c41efe640d97,农工训练班,Event,,
IENT-380a356b610d873577438f11,抗大九分校,Person,collaborated_with,IENT-865d95ae6d604a9cf25a870e,新四军十六旅,Organization,,
IENT-b2b9e46f116fef81f419ea0a,黄华清,Person,died_at,IENT-dd462cab291e9b7d87f3d2cf,江北永平门外,Place,,
IENT-41877e66c7d93763b8c97d71,党组织,Organization,organized,IENT-e14fdd8dc36f0d3a2ec8913d,中华民族解放先锋队,Organization,,
IENT-89042acecd0adf06829b9b25,马忠良,Person,opposed,IENT-610fa236210932d54f412844,学生自治会,Organization,,
IENT-b481047a141c57a37c5dfa13,杨殷,Person,created,IENT-f7474f62a529b5d5ae6bd4bb,彭杨军事政治学校,Institution,,
IENT-145cefad43a933693e1e3cbb,冬太,Person,active_at,IENT-877ab6eaea8aef71fd46c66f,珠田梅源村,Place,,
IENT-971dab2400a6ae9f75d4e0c7,黄季陆,Person,supported,IENT-76f9693293935f65070ea6e9,大洪山游击队,Organization,,
IENT-94a54e8bb3e0d89e9e4208f5,董振堂,Person,collaborated_with,IENT-ee455da27cfe60296eb1db17,季振同,Person,,
IENT-e357c653789a5c010318fc76,新四军第四师,Organization,fought_at,IENT-a8da7d585017c3479bba67f6,淮泗地区,Place,,
IENT-32c0d2c33eac1b9cd55b8195,夏奇峰,Person,held_position_in,IENT-48d5272bbd50ca9d5941da67,中共綦江县特支,Organization,重庆市,
IENT-0673fef6ddf2279dd759aa67,聂次应,Person,died_at,IENT-cb4bbbf49dc48e9828b96b0a,湘阴县,Place,,
IENT-0cd460658d96d61c821bba49,丁志平,Person,active_at,IENT-4b1a6f2566e0602cfe2f1453,松桂,Place,,
IENT-aa7448b4f658784deb71c8e7,中共蕲春县委,Organization,organized,IENT-dd8ae38078563f17b2baf1d3,蕲春县游击大队,Organization,,
IENT-b3670a9669840cf26e09a78a,王首道,Person,active_at,IENT-a15eb2114ff7e9cf846c4f2c,播乐地区,Place,,
IENT-1c1594f3a0b447950030770c,余稚翔,Person,active_at,IENT-c49f8355576d695dc02dfdc3,麻江县干塘原李锡鸾住宅,Place,,
IENT-ba0449b80a6101b023e8c19e,张宗玉,Person,organized,IENT-441679400bc6c94a87748225,妇女识字班,Event,,
IENT-7e11320d472541fcad705e58,赵忠义,Person,active_at,IENT-a9f18016fdb2364d9c54ca89,六合县,Place,,
IENT-63ff4e250e1c0dd913c55bf6,郑位三,Person,held_position_in,IENT-e71e55f7b5dd99b76dded7ec,鄂东特委,Organization,湖北省,
IENT-c2d566e1357c128005f84196,项英,Person,led,IENT-5e8f4ec661671970a46a5151,皖南斗争,Event,,
IENT-4bf9d05e0a5f9aa80cef40ba,顾生炳,Person,participated_in,IENT-c3f384891ab879768c0b221d,铜山战斗,Event,江苏省,
