事件ID,事件名,关联对象,对象类型,谓词,角色码,角色类别
IENT-1336a8569bff58b2f8609d5d,八七会议,秋收起义,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,欧阳钦,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,彭公达,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,瞿秋白,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,杨匏安,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,秋收暴动计划,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,中共湖南省委,Organization,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,罗亦农,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,弋横起义,Event,influenced,influencing_entity,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,向警予,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,何羽道,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,鄂西,Place,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,土地革命,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,醴陵暴动,Event,influenced,influencing_entity,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,贺龙,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,湖南,AdministrativeRegion,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,蔡树藩,Person,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,中共江西省委,Organization,led,leader,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,汉口法租界,AdministrativeRegion,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,王一飞,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,鄂南特委,Organization,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,黄麻起义,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,贺龙,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,南昌起义,Event,influenced,influencing_entity,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,鄂南,Place,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,南昌,Place,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,李汉藩,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,彭公达,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,汉口,AdministrativeRegion,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,李维汉,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,两湖地区,Place,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,王荷波,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,南昌起义,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,大阳手枪队,Organization,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,王一飞,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,苏兆征,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,张国焘,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,李立三,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,苏兆征,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,任弼时,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,张太雷,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,苏兆征,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,夏明德,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,南昌起义,Event,influenced,influencing_entity,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,四川暴动计划,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,欧阳钦,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,大金竹支部,Organization,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,广州起义,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,王一飞,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,两湖,Place,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,邓中夏,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,杨殷,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,土地革命战争时期四川境内武装反抗国民党反动派的第一枪,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,汉口鄱阳街139号二楼,Place,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,邓恩铭,Person,led,leader,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,杨匏安,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,杨殷,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,江西全省各地党部,Organization,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,汉口,AdministrativeRegion,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,御匪联庄会,Place,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,李汉藩,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,林修杰,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,中共中央,Organization,organized,organizer,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,珠湖农民武装暴动,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,蔡和森,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,上海,AdministrativeRegion,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,白区工作错误分析,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,瓦仓起义,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,南昌起义,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,陈乔年,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,中共中央,Organization,organized,organizer,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,王若飞,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,邓恩铭,Person,carried_out,executor,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,江西全省各地党部,Organization,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,王若飞,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,杨殷,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,御匪联庄会,Place,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,四川暴动计划,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,罗亦农,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,秋收暴动计划,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,九江武装斗争,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,南昌,Place,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,张国焘,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,中共江西省委,Organization,led,leader,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,邓中夏,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,瓦仓起义,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,毛泽东,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,九江地区武装斗争,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,彭公达,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,李汉藩,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,罗亦农,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,林修杰,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,湖南,AdministrativeRegion,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,陈乔年,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,向警予,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,瞿秋白,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,汉口,AdministrativeRegion,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,大阳手枪队,Organization,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,邓中夏,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,瞿秋白,Person,led,leader,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,九江武装斗争,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,李维汉,Person,led,leader,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,黄麻起义,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,王若飞,Person,led,leader,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,李立三,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,秋收起义,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,李维汉,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,上海,AdministrativeRegion,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,大金竹支部,Organization,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,土地革命,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,中共满洲临时省委,Organization,organized,organizer,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,张太雷,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,醴陵暴动,Event,influenced,influencing_entity,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,中共江西省委,Organization,guided,guide,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,醴陵,AdministrativeRegion,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,蔡和森,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,南昌,Place,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,顺直省委,Organization,organized,organizer,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,秋收起义,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,杨匏安,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,秋收暴动计划,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,两湖地区,Place,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,黄麻起义,Event,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,鄂南特委,Organization,influenced,influenced_target,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,方志敏,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,汉口,AdministrativeRegion,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,王荷波,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,湖北汉口,Place,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,两湖,Place,occurred_at,occurrence_place,place
IENT-1336a8569bff58b2f8609d5d,八七会议,任弼时,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,王荷波,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,毛泽东,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,何羽道,Person,participated_in,participant,actor
IENT-1336a8569bff58b2f8609d5d,八七会议,弋横起义,Event,influenced,influencing_entity,influence_context
IENT-1336a8569bff58b2f8609d5d,八七会议,秋收暴动,Event,influenced,influenced_target,influence_context
IENT-60c36e0975a4530a20b74ff0,贯彻八七会议精神与土地革命暴动,蓝启铭,Person,led,leader,actor
IENT-60c36e0975a4530a20b74ff0,贯彻八七会议精神与土地革命暴动,蓝启铭,Person,led,leader,actor
IENT-f3e43a912c3d086cd59ee587,中共八七会议,李维汉,Person,participated_in,participant,actor
IENT-f3e43a912c3d086cd59ee587,中共八七会议,张太雷,Person,participated_in,participant,actor
IENT-f3e43a912c3d086cd59ee587,中共八七会议,罗明纳兹,Person,participated_in,participant,actor
IENT-f3e43a912c3d086cd59ee587,中共八七会议,鄂北秋、收暴动,Event,influenced,influenced_target,influence_context
IENT-f3e43a912c3d086cd59ee587,中共八七会议,瞿秋白,Person,participated_in,participant,actor
IENT-f3e43a912c3d086cd59ee587,中共八七会议,张太雷,Person,participated_in,participant,actor
