事件ID,事件名,关联对象,对象类型,谓词,角色码,角色类别
IENT-6d8f289e9708d99f48395dac,南昌起义,许继慎,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,朱瑞,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,黄道,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,吴亚鲁,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,井冈山地区,Place,occurred_at,occurrence_place,place
IENT-6d8f289e9708d99f48395dac,南昌起义,章伯钧,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,郭亮,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,张曙时,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,清江,Place,influenced,influenced_target,influence_context
IENT-6d8f289e9708d99f48395dac,南昌起义,高语罕,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,九江会议,Event,part_of,component_event,event_structure
IENT-6d8f289e9708d99f48395dac,南昌起义,雪兰蛾副支部长,Organization,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,高希俨,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,贺、昌,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,贺诚,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,孟湘鉴,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,许继慎,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,卢生生,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,姚有光,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,前敌委员会,Organization,led,leader,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,董必武,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,何挺颖,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,蔡升熙,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,湘南地区,Place,influenced,influenced_target,influence_context
IENT-6d8f289e9708d99f48395dac,南昌起义,袁玉冰,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,李光庭,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,武汉工人总同盟罢工,Event,influenced,influencing_entity,influence_context
IENT-6d8f289e9708d99f48395dac,南昌起义,共产国际,Organization,influenced,influencing_entity,influence_context
IENT-6d8f289e9708d99f48395dac,南昌起义,八一暴动,Event,part_of,parent_event,event_structure
IENT-6d8f289e9708d99f48395dac,南昌起义,刘九峰,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,孔原,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,周恩来,Person,organized,organizer,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,朱德,Person,led,leader,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,熊雄,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,邹劲松,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,刘少奇,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,甘棠湖,Place,occurred_at,occurrence_place,place
IENT-6d8f289e9708d99f48395dac,南昌起义,曾宪明,Person,influenced,influencing_entity,influence_context
IENT-6d8f289e9708d99f48395dac,南昌起义,叶挺,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,宣侠父,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,陈云庵,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,方维夏,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,李立三,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,冉聿修,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,周以栗,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,彭湃,Person,led,leader,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,赵博生,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,杨石魂,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,邓小平,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,陶、铸,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,贺龙,Person,led,leader,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,江西学生总会主席,Person,supported,supporter,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,郭亮,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,贺龙,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,邱国忠,Person,influenced,influencing_entity,influence_context
IENT-6d8f289e9708d99f48395dac,南昌起义,八路军一一五师三四三旅六八五团,Organization,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,周恩来,Person,led,leader,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,肖光宇,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,瞿秋白,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,特立,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,俞其炎,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,抚河,Place,occurred_at,occurrence_place,place
IENT-6d8f289e9708d99f48395dac,南昌起义,邹劲松,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,贺诚,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,江西,AdministrativeRegion,occurred_at,occurrence_place,place
IENT-6d8f289e9708d99f48395dac,南昌起义,朱瑞,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,许德华,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,武汉政府,Organization,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,宣侠父,Person,participated_in,participant,actor
IENT-6d8f289e9708d99f48395dac,南昌起义,宋庆龄,Person,influenced,influencing_entity,influence_context
