事件ID,事件名,关联对象,对象类型,谓词,角色码,角色类别
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,中共江西省委,Organization,guided,guide,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,杨赣苏区,Place,occurred_at,occurrence_place,place
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,赣南特委,Organization,led,leader,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,方志敏,Person,led,leader,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,余洒度,Person,participated_in,participant,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,杨一奇,Person,participated_in,participant,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,刘俊秀,Person,participated_in,participant,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,潘叶煌,Person,participated_in,participant,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,袁益坤,Person,organized,organizer,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,江西,AdministrativeRegion,occurred_at,occurrence_place,place
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,彭公达,Person,participated_in,participant,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,邓乾元,Person,participated_in,participant,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,省委,Organization,led,leader,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,中共江西省委,Organization,organized,organizer,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,江南特委,Organization,led,leader,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,朱毛红军,Organization,participated_in,participant,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,湘南工农会,Organization,participated_in,participant,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,向警予,Person,participated_in,participant,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,廖子良,Person,organized,organizer,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,方之中,Person,commanded,commander,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,农会,Organization,led,leader,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,彭公达,Person,led,leader,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,林育南,Person,participated_in,participant,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,余洒度,Person,influenced,influencing_entity,influence_context
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,刘俊秀,Person,participated_in,participant,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,毛泽东,Person,led,leader,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,寻淮洲,Person,participated_in,participant,actor
IENT-c21ffd30ebbd870dc2ff1a2b,秋收暴动,李鑫,Person,organized,organizer,actor
