事件ID,事件名,关联对象,对象类型,谓词,角色码,角色类别
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,曾日三,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,何恩余,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,曹菊如,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,抗日战争,Event,influenced,influenced_target,influence_context
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,何叔衡,Person,led,leader,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,贵州,AdministrativeRegion,occurred_at,occurrence_place,place
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,谢觉哉,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,宋任穷,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,秦邦宪,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,徐特立,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,林伯渠,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,李维汉,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,甘渭汉,Person,led,leader,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,贵州省,Place,occurred_at,occurrence_place,place
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,甘棠,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,贵州,AdministrativeRegion,occurred_at,occurrence_place,place
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,董必武,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,红九军团整编,Organization,influenced,influenced_target,influence_context
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,徐特立,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,遵义县革命委员会,Organization,organized,organizer,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,陈赓,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,刘型,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,张闻天,Person,influenced,influenced_target,influence_context
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,毛泽东,Person,influenced,influencing_entity,influence_context
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,陈云,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,秦邦宪,Person,led,leader,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,朱瑞,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,二、六军团,Organization,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,谭政,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,遵义,Place,occurred_at,occurrence_place,place
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,川南,Place,occurred_at,occurrence_place,place
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,任弼时,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,李志光,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,罗梓铭,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,红军,Organization,influenced,influenced_target,influence_context
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,谢觉哉,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,陈赓,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,刘少奇,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,董必武,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,贺诚,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,赤水河,Place,occurred_at,occurrence_place,place
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,王集成,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,徐特立,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,潘汉年,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,夏曦,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,董振堂,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,云贵川三省,Place,influenced,influenced_target,influence_context
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,中央苏区,Place,occurred_at,occurrence_place,place
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,何长工,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,吕敷成,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,曾日三,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,杜海臣,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,陈云,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,张闻天,Person,led,leader,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,毛泽东,Person,guided,guide,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,蔡和森,Person,led,leader,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,王稼祥,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,云南省扎西县,Place,occurred_at,occurrence_place,place
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,长征,Event,influenced,influenced_target,influence_context
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,扎西会议,Event,influenced,influenced_target,influence_context
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,长征,Event,influenced,influenced_target,influence_context
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,关向应,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,湘鄂川黔根据地,Place,influenced,influenced_target,influence_context
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,朱德,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,潘汉年,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,何长工,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,红二军团,Organization,influenced,influenced_target,influence_context
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,董振堂,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,川黔地区,Place,occurred_at,occurrence_place,place
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,谢维俊,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,彭德怀,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,遵义,Place,occurred_at,occurrence_place,place
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,刘型,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,红一方面军,Organization,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,四渡赤水,Event,influenced,influenced_target,influence_context
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,叶剑英,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,王明路线,Event,influenced,influencing_entity,influence_context
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,中央红军,Organization,organized,organizer,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,陈云,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,懋功会师,Event,influenced,influenced_target,influence_context
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,红一军团,Organization,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,彭雪枫,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,何克全,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,张闻天,Person,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,红军,Organization,participated_in,participant,actor
IENT-3c4d7ce58ed96cffe11028e4,遵义会议,红军,Organization,organized,organizer,actor
