事件名,严格断言数,受控角色数,省域数,观测起
南昌起义,132,582,2,
秋收起义,70,329,4,1927-09-10
四渡赤水,47,358,6,1935-01-01
长征,40,172,3,
遵义会议,39,268,3,1935-01-01
渡江战役,39,343,4,
湘南起义,37,138,3,
抗日救亡运动,36,236,9,
土地改革运动,33,184,8,1924-01-01
红军长征,32,318,8,1935-01-01
广州起义,29,81,0,
八一南昌起义,28,81,1,1927-08-01
剿匪斗争,25,207,5,1950-01-01
淮海战役,24,149,2,
五卅运动,24,240,4,
秋收暴动,24,110,4,1927-09-01
八七会议,23,135,4,1949-01-01
北伐战争,23,99,4,
皖南事变,22,614,5,1941-01-01
重庆谈判,21,175,6,1945-08-01
湘南暴动,21,72,1,1928-01-01
宁都起义,20,35,1,1931-12-01
五四运动,19,213,4,1919-01-01
黔东事变,19,53,1,
万安暴动,19,44,1,
土地革命,19,111,6,
土地改革,19,255,8,1950-01-01
平江起义,18,58,3,1928-07-22
渡江作战,18,86,2,1949-04-01
上海工人第三次武装起义,17,47,0,1949-01-01
