谓词,五档,断言数
participated_in,UNSUPPORTED,10072
led,UNSUPPORTED,9239
led,PARTIALLY_SUPPORTED,7181
participated_in,PARTIALLY_SUPPORTED,6591
active_at,PARTIALLY_SUPPORTED,4361
occurred_at,PARTIALLY_SUPPORTED,3358
participated_in,FULLY_SUPPORTED,3355
led,FULLY_SUPPORTED,3125
occurred_at,UNSUPPORTED,3114
active_at,UNSUPPORTED,3045
organized,UNSUPPORTED,2922
influenced,UNSUPPORTED,2416
active_at,FULLY_SUPPORTED,1911
organized,PARTIALLY_SUPPORTED,1904
member_of,UNSUPPORTED,1893
organized,FULLY_SUPPORTED,1613
held_position_in,FULLY_SUPPORTED,1531
influenced,PARTIALLY_SUPPORTED,1520
held_position_in,PARTIALLY_SUPPORTED,1446
member_of,PARTIALLY_SUPPORTED,1422
commanded,UNSUPPORTED,1316
member_of,FULLY_SUPPORTED,1216
has_value_facet,FULLY_SUPPORTED,1169
held_position_in,UNSUPPORTED,1037
occurred_at,FULLY_SUPPORTED,1035
supported,UNSUPPORTED,831
guided,UNSUPPORTED,799
mentioned_in,UNSUPPORTED,720
occurred_at,INSUFFICIENT,700
commanded,PARTIALLY_SUPPORTED,621
participated_in,INSUFFICIENT,619
carried_out,UNSUPPORTED,617
fought_at,UNSUPPORTED,597
influenced,FULLY_SUPPORTED,533
stationed_at,PARTIALLY_SUPPORTED,510
stationed_at,UNSUPPORTED,492
governed,UNSUPPORTED,473
opposed,UNSUPPORTED,464
guided,PARTIALLY_SUPPORTED,463
supported,FULLY_SUPPORTED,439
supported,PARTIALLY_SUPPORTED,439
active_at,INSUFFICIENT,432
fought_at,FULLY_SUPPORTED,425
worked_at,UNSUPPORTED,425
fought_at,PARTIALLY_SUPPORTED,424
worked_at,FULLY_SUPPORTED,399
contacted,UNSUPPORTED,376
worked_at,PARTIALLY_SUPPORTED,336
stationed_at,FULLY_SUPPORTED,330
created,UNSUPPORTED,323
carried_out,PARTIALLY_SUPPORTED,315
dispatched,PARTIALLY_SUPPORTED,313
led,INSUFFICIENT,307
traveled_to,FULLY_SUPPORTED,305
collaborated_with,FULLY_SUPPORTED,303
captured,UNSUPPORTED,301
collaborated_with,UNSUPPORTED,291
contacted,FULLY_SUPPORTED,286
created,FULLY_SUPPORTED,286
contacted,PARTIALLY_SUPPORTED,282
traveled_to,UNSUPPORTED,277
commanded,FULLY_SUPPORTED,275
guided,FULLY_SUPPORTED,269
died_at,FULLY_SUPPORTED,253
opposed,PARTIALLY_SUPPORTED,245
governed,PARTIALLY_SUPPORTED,238
dispatched,FULLY_SUPPORTED,235
traveled_to,PARTIALLY_SUPPORTED,232
responsible_for,PARTIALLY_SUPPORTED,225
carried_out,FULLY_SUPPORTED,222
dispatched,UNSUPPORTED,217
captured,FULLY_SUPPORTED,211
collaborated_with,PARTIALLY_SUPPORTED,202
created,PARTIALLY_SUPPORTED,200
responsible_for,FULLY_SUPPORTED,190
killed,UNSUPPORTED,186
died_at,UNSUPPORTED,185
captured,PARTIALLY_SUPPORTED,175
liberated,FULLY_SUPPORTED,170
responsible_for,UNSUPPORTED,160
influenced,INSUFFICIENT,156
liberated,PARTIALLY_SUPPORTED,150
located_in,UNSUPPORTED,147
located_in,FULLY_SUPPORTED,146
opposed,FULLY_SUPPORTED,138
born_at,FULLY_SUPPORTED,137
imprisoned_at,FULLY_SUPPORTED,137
liberated,UNSUPPORTED,137
organized,INSUFFICIENT,135
arrested_at,UNSUPPORTED,128
member_of,INSUFFICIENT,126
reported_to,UNSUPPORTED,124
introduced,FULLY_SUPPORTED,123
located_in,PARTIALLY_SUPPORTED,122
governed,FULLY_SUPPORTED,121
introduced,PARTIALLY_SUPPORTED,115
recruited,UNSUPPORTED,115
has_value_facet,PARTIALLY_SUPPORTED,111
killed,FULLY_SUPPORTED,111
appointed,UNSUPPORTED,109
imprisoned_at,UNSUPPORTED,109
colleague_of,UNSUPPORTED,108
recruited,PARTIALLY_SUPPORTED,108
colleague_of,FULLY_SUPPORTED,103
