省份,五档,断言数
四川省,PARTIALLY_SUPPORTED,962
四川省,UNSUPPORTED,954
贵州省,PARTIALLY_SUPPORTED,933
江西省,UNSUPPORTED,907
云南省,PARTIALLY_SUPPORTED,887
江西省,PARTIALLY_SUPPORTED,787
贵州省,UNSUPPORTED,746
湖北省,UNSUPPORTED,744
云南省,UNSUPPORTED,726
湖南省,PARTIALLY_SUPPORTED,707
湖南省,UNSUPPORTED,698
江苏省,UNSUPPORTED,682
安徽省,UNSUPPORTED,643
湖北省,PARTIALLY_SUPPORTED,591
安徽省,PARTIALLY_SUPPORTED,537
江苏省,PARTIALLY_SUPPORTED,500
上海市,UNSUPPORTED,494
重庆市,UNSUPPORTED,404
重庆市,PARTIALLY_SUPPORTED,388
江西省,FULLY_SUPPORTED,333
上海市,PARTIALLY_SUPPORTED,327
云南省,FULLY_SUPPORTED,299
四川省,FULLY_SUPPORTED,295
湖南省,FULLY_SUPPORTED,260
贵州省,FULLY_SUPPORTED,232
湖北省,FULLY_SUPPORTED,190
江苏省,FULLY_SUPPORTED,133
安徽省,FULLY_SUPPORTED,127
重庆市,FULLY_SUPPORTED,112
湖北省/湖南省,PARTIALLY_SUPPORTED,102
上海市,FULLY_SUPPORTED,94
四川省/贵州省/云南省,PARTIALLY_SUPPORTED,90
江苏省/安徽省,UNSUPPORTED,89
江西省/湖南省,PARTIALLY_SUPPORTED,88
安徽省/湖北省,UNSUPPORTED,81
江苏省/安徽省,PARTIALLY_SUPPORTED,81
湖北省/湖南省,UNSUPPORTED,80
江西省/湖北省/湖南省,PARTIALLY_SUPPORTED,78
江西省/湖南省,UNSUPPORTED,72
江西省/湖北省/湖南省,UNSUPPORTED,71
江西省,INSUFFICIENT,69
贵州省,INSUFFICIENT,64
湖北省,INSUFFICIENT,63
安徽省/湖北省,PARTIALLY_SUPPORTED,59
浙江省,PARTIALLY_SUPPORTED,48
浙江省,UNSUPPORTED,42
四川省,INSUFFICIENT,41
江苏省,INSUFFICIENT,41
安徽省,INSUFFICIENT,40
湖南省,INSUFFICIENT,40
上海市,INSUFFICIENT,36
安徽省/江西省,UNSUPPORTED,32
云南省,INSUFFICIENT,31
四川省/贵州省/云南省,UNSUPPORTED,29
安徽省/江西省,PARTIALLY_SUPPORTED,28
湖北省/湖南省,FULLY_SUPPORTED,26
江苏省/安徽省,FULLY_SUPPORTED,25
重庆市,INSUFFICIENT,19
江西省/湖北省/湖南省,FULLY_SUPPORTED,17
江西省/湖南省,FULLY_SUPPORTED,16
四川省/贵州省/云南省,FULLY_SUPPORTED,15
浙江省,FULLY_SUPPORTED,14
安徽省/湖北省,FULLY_SUPPORTED,13
广东省,UNSUPPORTED,13
广东省,PARTIALLY_SUPPORTED,11
广东省,FULLY_SUPPORTED,10
江苏省/安徽省,INSUFFICIENT,10
江西省/湖北省/湖南省,INSUFFICIENT,10
安徽省/江西省,FULLY_SUPPORTED,7
江西省/湖南省,INSUFFICIENT,7
福建省,PARTIALLY_SUPPORTED,6
福建省,UNSUPPORTED,6
湖北省/湖南省,INSUFFICIENT,5
陕西省,UNSUPPORTED,5
青海省,UNSUPPORTED,5
安徽省/湖北省,INSUFFICIENT,4
广西壮族自治区,PARTIALLY_SUPPORTED,4
广西壮族自治区,UNSUPPORTED,4
浙江省,INSUFFICIENT,4
福建省,FULLY_SUPPORTED,4
北京市,UNSUPPORTED,3
江西省,CONTRADICTED,3
河南省,UNSUPPORTED,3
陕西省,PARTIALLY_SUPPORTED,3
北京市,PARTIALLY_SUPPORTED,2
四川省,CONTRADICTED,2
四川省/贵州省/云南省,INSUFFICIENT,2
山西省,UNSUPPORTED,2
广东省,INSUFFICIENT,2
广西壮族自治区,FULLY_SUPPORTED,2
海南省,UNSUPPORTED,2
湖北省,CONTRADICTED,2
北京市,FULLY_SUPPORTED,1
北京市,INSUFFICIENT,1
天津市,UNSUPPORTED,1
山东省,PARTIALLY_SUPPORTED,1
山东省,UNSUPPORTED,1
山西省,FULLY_SUPPORTED,1
河北省,PARTIALLY_SUPPORTED,1
河南省,FULLY_SUPPORTED,1
海南省,PARTIALLY_SUPPORTED,1
甘肃省,PARTIALLY_SUPPORTED,1
福建省,INSUFFICIENT,1
西藏自治区,FULLY_SUPPORTED,1
贵州省,CONTRADICTED,1
青海省,FULLY_SUPPORTED,1
