时延档(s),五档,判定数
0.75,INSUFFICIENT,60
0.75,PARTIALLY_SUPPORTED,2
0.75,UNSUPPORTED,971
1.0,CONTRADICTED,2
1.0,FULLY_SUPPORTED,191
1.0,INSUFFICIENT,462
1.0,PARTIALLY_SUPPORTED,121
1.0,UNSUPPORTED,9507
1.25,CONTRADICTED,2
1.25,FULLY_SUPPORTED,1409
1.25,INSUFFICIENT,640
1.25,PARTIALLY_SUPPORTED,1183
1.25,UNSUPPORTED,13912
1.5,CONTRADICTED,3
1.5,FULLY_SUPPORTED,2571
1.5,INSUFFICIENT,302
1.5,PARTIALLY_SUPPORTED,3423
1.5,UNSUPPORTED,6640
1.75,CONTRADICTED,3
1.75,FULLY_SUPPORTED,2540
1.75,INSUFFICIENT,113
1.75,PARTIALLY_SUPPORTED,5326
1.75,UNSUPPORTED,2019
2.0,FULLY_SUPPORTED,1829
2.0,INSUFFICIENT,119
2.0,PARTIALLY_SUPPORTED,5238
2.0,UNSUPPORTED,931
2.25,CONTRADICTED,1
2.25,FULLY_SUPPORTED,1321
2.25,INSUFFICIENT,203
2.25,PARTIALLY_SUPPORTED,4067
2.25,UNSUPPORTED,1207
2.5,CONTRADICTED,2
2.5,FULLY_SUPPORTED,876
2.5,INSUFFICIENT,256
2.5,PARTIALLY_SUPPORTED,2555
2.5,UNSUPPORTED,1562
2.75,FULLY_SUPPORTED,787
2.75,INSUFFICIENT,247
2.75,PARTIALLY_SUPPORTED,1486
2.75,UNSUPPORTED,1688
3.0,CONTRADICTED,1
3.0,FULLY_SUPPORTED,749
3.0,INSUFFICIENT,201
3.0,PARTIALLY_SUPPORTED,895
3.0,UNSUPPORTED,1436
3.25,CONTRADICTED,1
3.25,FULLY_SUPPORTED,873
3.25,INSUFFICIENT,146
3.25,PARTIALLY_SUPPORTED,777
3.25,UNSUPPORTED,1208
3.5,CONTRADICTED,1
3.5,FULLY_SUPPORTED,932
3.5,INSUFFICIENT,87
3.5,PARTIALLY_SUPPORTED,747
3.5,UNSUPPORTED,1018
3.75,FULLY_SUPPORTED,1068
3.75,INSUFFICIENT,62
3.75,PARTIALLY_SUPPORTED,912
3.75,UNSUPPORTED,815
4.0,CONTRADICTED,1
4.0,FULLY_SUPPORTED,1004
4.0,INSUFFICIENT,44
4.0,PARTIALLY_SUPPORTED,932
4.0,UNSUPPORTED,594
4.25,CONTRADICTED,3
4.25,FULLY_SUPPORTED,1057
4.25,INSUFFICIENT,29
4.25,PARTIALLY_SUPPORTED,1028
4.25,UNSUPPORTED,477
4.5,CONTRADICTED,2
4.5,FULLY_SUPPORTED,968
4.5,INSUFFICIENT,18
4.5,PARTIALLY_SUPPORTED,1046
4.5,UNSUPPORTED,319
4.75,CONTRADICTED,2
4.75,FULLY_SUPPORTED,879
4.75,INSUFFICIENT,18
4.75,PARTIALLY_SUPPORTED,974
4.75,UNSUPPORTED,209
5.0,CONTRADICTED,2
5.0,FULLY_SUPPORTED,722
5.0,INSUFFICIENT,9
5.0,PARTIALLY_SUPPORTED,868
5.0,UNSUPPORTED,144
5.25,FULLY_SUPPORTED,603
5.25,INSUFFICIENT,3
5.25,PARTIALLY_SUPPORTED,774
5.25,UNSUPPORTED,86
5.5,CONTRADICTED,1
5.5,FULLY_SUPPORTED,438
5.5,INSUFFICIENT,2
5.5,PARTIALLY_SUPPORTED,585
5.5,UNSUPPORTED,43
5.75,FULLY_SUPPORTED,375
5.75,INSUFFICIENT,1
5.75,PARTIALLY_SUPPORTED,510
5.75,UNSUPPORTED,35
6.0,FULLY_SUPPORTED,241
6.0,INSUFFICIENT,1
6.0,PARTIALLY_SUPPORTED,406
6.0,UNSUPPORTED,9
6.25,FULLY_SUPPORTED,202
6.25,PARTIALLY_SUPPORTED,279
6.25,UNSUPPORTED,8
6.5,FULLY_SUPPORTED,149
6.5,PARTIALLY_SUPPORTED,224
6.5,UNSUPPORTED,8
